date,Críticas con respirador ,Críticas sin respirador ,Ingresos CV19 por urgencias ,Ingresos totales hospitalarios ,Resto de camas hospitalarias 
2020-04-01,107,0,42,317,341
2020-04-02,105,0,44,307,332
2020-04-03,100,0,52,237,338
2020-04-04,101,0,33,224,344
2020-04-05,98,0,41,233,368
2020-04-06,95,0,47,339,377
2020-04-07,102,0,48,313,373
2020-04-08,89,5,43,264,370
2020-04-09,92,0,35,225,376
2020-04-10,87,0,29,193,355
2020-04-11,90,0,19,183,336
2020-04-12,86,0,28,205,356
2020-04-13,88,0,36,331,340
2020-04-14,83,0,38,338,337
2020-04-15,77,0,27,366,316
2020-04-16,72,0,51,355,313
2020-04-17,69,0,32,263,270
2020-04-18,70,0,18,170,256
2020-04-19,73,0,13,243,235
2020-04-20,69,0,29,365,237
2020-04-21,67,0,26,364,232
2020-04-22,62,0,14,324,194
2020-04-23,60,0,18,360,180
2020-04-24,55,0,24,275,164
2020-04-25,55,0,16,190,159
2020-04-26,53,0,11,231,160
2020-04-27,46,0,19,376,151
2020-04-28,49,0,24,402,148
2020-04-29,46,0,28,391,142
2020-04-30,46,0,20,298,135
2020-08-01,2,0,2,230,24
2020-08-02,2,0,3,294,26
2020-08-03,1,0,2,512,28
2020-08-04,1,1,8,523,33
2020-08-05,1,1,2,504,32
2020-08-06,2,0,2,515,30
2020-08-07,2,0,4,418,35
2020-08-08,2,0,6,226,39
2020-08-09,1,0,11,266,46
2020-08-10,1,0,8,501,40
2020-08-11,2,0,8,513,44
2020-08-12,3,0,11,512,54
2020-08-13,3,0,12,490,55
2020-08-14,7,0,14,381,60
2020-08-15,7,0,10,217,63
2020-08-16,7,0,9,251,64
2020-08-17,9,0,16,530,79
2020-08-18,13,0,22,495,88
2020-08-19,13,0,18,512,92
2020-08-20,13,0,15,480,92
2020-08-21,14,0,16,370,98
2020-08-22,19,0,21,233,106
2020-08-23,22,0,16,278,118
2020-08-24,23,0,26,491,134
2020-08-25,27,0,30,511,131
2020-08-26,29,0,22,509,139
2020-08-27,31,0,23,481,154
2020-08-28,33,0,24,414,154
2020-08-29,35,0,29,299,170
2020-08-30,33,0,28,263,187
2020-08-31,38,0,25,456,180
2020-12-01,44,0,14,542,175
2020-12-02,43,0,11,520,166
2020-12-03,47,0,15,588,176
2020-12-04,45,0,17,434,185
2020-12-05,46,0,10,241,189
2020-12-06,46,1,13,195,201
2020-12-07,43,0,16,214,204
2020-12-08,45,0,22,326,220
2020-12-09,43,1,33,509,226
2020-12-10,45,1,18,492,218
2020-07-01,3,0,3,536,11
2020-07-02,2,0,1,570,9
2020-07-03,1,0,0,408,8
2020-07-04,2,0,5,246,12
2020-07-05,2,0,4,292,13
2020-07-06,2,0,4,520,16
2020-07-07,1,0,3,560,18
2020-07-08,1,0,2,618,12
2020-07-09,1,0,3,512,12
2020-07-10,1,0,0,420,9
2020-07-11,1,0,2,226,11
2020-07-12,1,0,2,304,13
2020-07-13,0,0,2,570,12
2020-07-14,1,0,3,516,15
2020-07-15,1,0,1,545,12
2020-07-16,1,0,10,568,20
2020-07-17,1,0,1,387,12
2020-07-18,1,0,3,251,12
2020-07-19,1,0,5,306,16
2020-07-20,2,0,4,581,16
2020-07-21,2,0,5,530,15
2020-07-22,1,0,3,522,14
2020-07-23,1,0,3,509,18
2020-07-24,1,0,4,386,20
2020-07-25,1,0,5,257,22
2020-07-26,1,0,2,288,26
2020-07-27,1,0,2,530,26
2020-07-28,1,0,2,515,26
2020-07-29,3,0,3,534,25
2020-07-30,2,0,2,487,24
2020-07-31,2,0,5,378,26
2020-06-01,10,0,5,459,43
2020-06-02,7,0,6,469,38
2020-06-03,5,0,11,492,41
2020-06-04,4,0,4,489,38
2020-06-05,4,0,7,370,34
2020-06-06,3,0,5,189,33
2020-06-07,3,0,3,293,35
2020-06-08,3,0,5,527,32
2020-06-09,3,0,5,487,30
2020-06-10,3,0,4,526,26
2020-06-11,2,0,4,519,26
2020-06-12,3,0,7,380,26
2020-06-13,4,0,3,241,28
2020-06-14,2,0,1,308,21
2020-06-15,2,0,5,538,25
2020-06-16,3,0,6,534,31
2020-06-17,3,0,3,483,23
2020-06-18,3,0,4,531,22
2020-06-19,3,1,7,398,25
2020-06-20,3,1,4,187,25
2020-06-21,4,1,7,288,29
2020-06-22,4,0,4,581,21
2020-06-23,4,0,5,525,20
2020-06-24,4,2,2,428,24
2020-06-25,3,0,2,494,15
2020-06-26,4,0,3,460,16
2020-06-27,4,0,2,212,15
2020-06-28,4,0,4,289,15
2020-06-29,4,0,3,508,14
2020-06-30,4,0,2,562,11
2020-03-23,51,0,1,4,228
2020-03-24,63,0,1,0,257
2020-03-25,72,0,1,0,289
2020-03-26,77,0,8,62,315
2020-03-27,82,16,29,121,342
2020-03-28,89,1,33,88,363
2020-03-29,93,1,53,209,395
2020-03-30,99,0,56,298,384
2020-03-31,105,0,53,332,337
2020-05-01,43,0,8,209,124
2020-05-02,43,0,8,181,111
2020-05-03,40,0,10,285,115
2020-05-04,32,0,15,402,125
2020-05-05,25,0,18,378,129
2020-05-06,24,0,15,436,126
2020-05-07,20,0,13,408,115
2020-05-08,20,0,11,346,105
2020-05-09,21,0,9,194,103
2020-05-10,21,0,8,280,96
2020-05-11,18,0,8,415,89
2020-05-12,18,0,11,434,87
2020-05-13,16,0,9,471,82
2020-05-14,19,0,5,448,78
2020-05-15,16,0,6,334,71
2020-05-16,14,0,5,189,66
2020-05-17,15,0,5,314,68
2020-05-18,16,1,7,440,68
2020-05-19,18,0,4,438,58
2020-05-20,17,0,6,442,54
2020-05-21,14,0,7,435,55
2020-05-22,15,0,7,382,48
2020-05-23,15,0,8,224,52
2020-05-24,13,0,4,285,46
2020-05-25,12,0,10,494,54
2020-05-26,9,0,6,457,56
2020-05-27,7,0,9,487,53
2020-05-28,7,0,6,495,49
2020-05-29,7,0,4,367,44
2020-05-30,8,0,8,200,45
2020-05-31,7,0,6,316,49
2020-11-01,44,0,13,282,169
2020-11-02,44,0,18,575,174
2020-11-03,43,0,21,588,184
2020-11-04,48,0,19,567,170
2020-11-05,50,0,21,560,160
2020-11-06,50,0,30,439,162
2020-11-07,49,0,25,258,181
2020-11-08,46,0,16,315,190
2020-11-09,47,0,11,554,183
2020-11-10,48,0,22,575,192
2020-11-11,47,0,18,584,196
2020-11-12,52,0,18,574,198
2020-11-13,53,0,14,481,185
2020-11-14,54,0,16,206,181
2020-11-15,49,1,16,303,193
2020-11-16,48,1,22,576,197
2020-11-17,50,1,14,585,191
2020-11-18,46,0,11,553,184
2020-11-19,46,0,13,541,173
2020-11-20,44,0,14,437,162
2020-11-21,43,0,14,234,175
2020-11-22,41,0,11,300,179
2020-11-23,40,0,18,635,187
2020-11-24,40,0,21,609,197
2020-11-25,41,0,15,601,177
2020-11-26,44,0,15,541,177
2020-11-27,42,0,10,439,155
2020-11-28,43,0,14,218,166
2020-11-29,43,0,13,294,178
2020-11-30,42,0,15,574,173
2020-10-01,56,0,19,499,197
2020-10-02,54,0,16,383,180
2020-10-03,55,0,17,256,205
2020-10-04,56,0,24,285,228
2020-10-05,60,0,17,489,229
2020-10-06,65,0,18,520,208
2020-10-07,65,0,14,508,203
2020-10-08,67,0,24,526,200
2020-10-09,65,1,20,431,188
2020-10-10,66,1,13,242,192
2020-10-11,64,1,20,217,212
2020-10-12,59,0,13,291,219
2020-10-13,61,0,22,517,219
2020-10-14,60,1,16,508,234
2020-10-15,56,0,17,537,227
2020-10-16,54,0,22,446,203
2020-10-17,55,0,13,247,202
2020-10-18,56,0,12,272,205
2020-10-19,55,0,18,542,209
2020-10-20,52,0,12,557,206
2020-10-21,49,0,20,549,210
2020-10-22,47,0,24,531,213
2020-10-23,48,0,16,444,224
2020-10-24,48,0,13,221,226
2020-10-25,48,0,5,296,216
2020-10-26,48,0,11,521,200
2020-10-27,48,0,12,541,187
2020-10-28,45,0,14,561,185
2020-10-29,47,0,12,541,169
2020-10-30,44,0,12,410,161
2020-10-31,43,0,7,251,166
2020-09-01,42,0,24,505,163
2020-09-02,45,0,33,511,168
2020-09-03,52,0,41,528,178
2020-09-04,52,0,22,412,182
2020-09-05,49,0,28,237,195
2020-09-06,47,0,22,236,206
2020-09-07,54,0,38,360,208
2020-09-08,58,0,30,422,207
2020-09-09,59,1,24,485,200
2020-09-10,59,0,26,500,192
2020-09-11,62,0,27,403,191
2020-09-12,60,0,20,242,199
2020-09-13,56,0,16,225,209
2020-09-14,54,0,15,475,208
2020-09-15,54,0,17,464,196
2020-09-16,57,0,22,518,195
2020-09-17,57,1,17,506,187
2020-09-18,55,1,18,413,184
2020-09-19,56,1,13,244,186
2020-09-20,59,1,23,289,204
2020-09-21,58,1,20,511,198
2020-09-22,60,1,10,475,190
2020-09-23,61,1,16,500,183
2020-09-24,61,0,22,496,198
2020-09-25,64,0,32,487,201
2020-09-26,66,0,16,244,189
2020-09-27,67,0,21,279,192
2020-09-28,67,0,16,473,190
2020-09-29,62,1,22,518,204
2020-09-30,63,0,20,475,187
