"","Fecha","Isla","Provincia","Hospital","Hispitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador"
"1","23/03/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",3,0,0
"2","23/03/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",0,0,0
"3","23/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",24,10,0
"4","23/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",21,10,0
"5","23/03/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"6","23/03/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"7","23/03/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"8","23/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"9","23/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"10","23/03/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",2,0,0
"11","23/03/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",3,0,0
"12","23/03/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",5,4,0
"13","23/03/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",7,2,0
"14","23/03/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"15","23/03/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"16","23/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",57,9,0
"17","23/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",99,16,0
"18","23/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",1,0,0
"19","23/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"20","23/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",2,0,0
"21","23/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",1,0,0
"22","23/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",0,0,0
"23","23/03/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"24","24/03/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",3,0,0
"25","24/03/2020","Fuerteventura","Las Palmas","Hospital General de Fuerteventura",1,0,0
"26","24/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario de Gran Canaria Dr. Negrín",33,11,0
"27","24/03/2020","Gran Canaria","Las Palmas","Complejo Hospitalario Universitario Insular - Materno Infantil",29,11,0
"28","24/03/2020","Gran Canaria","Las Palmas","Hospital Clínica Roca (Roca Gestión Hospitalaria)",1,0,0
"29","24/03/2020","Gran Canaria","Las Palmas","Hospital Nuestra Señora del Perpetuo Socorro",0,0,0
"30","24/03/2020","Gran Canaria","Las Palmas","Hospital Policlínico La Paloma, S.A.",0,0,0
"31","24/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Las Palmas de Gran Canaria",0,0,0
"32","24/03/2020","Gran Canaria","Las Palmas","Hospital San Roque Maspalomas",0,0,0
"33","24/03/2020","Gran Canaria","Las Palmas","Vithas Hospital Santa Catalina",1,0,0
"34","24/03/2020","La Gomera","Santa Cruz de Tenerife","Hospital Nuestra Señora de Guadalupe",1,0,0
"35","24/03/2020","La Palma","Santa Cruz de Tenerife","Hospital General de La Palma",9,4,0
"36","24/03/2020","Lanzarote","Las Palmas","Hospital Dr. José Molina Orosa",13,3,0
"37","24/03/2020","Lanzarote","Las Palmas","Hospiten Lanzarote (Clínicas del Sur S.U.L.)",0,0,0
"38","24/03/2020","Tenerife","Santa Cruz de Tenerife","Clínica Parque, S.A.",2,0,0
"39","24/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario de Canarias",61,12,0
"40","24/03/2020","Tenerife","Santa Cruz de Tenerife","Complejo Hospitalario Universitario Nuestra Señora de Candelaria",100,22,0
"41","24/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Costa Adeje",0,0,0
"42","24/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital Quirón Tenerife",0,0,0
"43","24/03/2020","Tenerife","Santa Cruz de Tenerife","Hospital San Juan de Dios",2,0,0
"44","24/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Bellevue",1,0,0
"45","24/03/2020","Tenerife","Santa Cruz de Tenerife","Hospiten Sur",0,0,0
"46","24/03/2020","Tenerife","Santa Cruz de Tenerife","RAMBLA",0,0,0
"47","25/03/2020","El Hierro","Santa Cruz de Tenerife","Hospital Insular Nuestra Señora de los Reyes",3,0,0
