"","Fecha","Provincia","Hispitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador"
"1","23/03/2020","Las Palmas",55,22,0
"2","23/03/2020","Santa Cruz de Tenerife",173,29,0
"3","24/03/2020","Las Palmas",78,25,0
"4","24/03/2020","Santa Cruz de Tenerife",179,38,0
"5","25/03/2020","Las Palmas",91,30,0
"6","25/03/2020","Santa Cruz de Tenerife",198,42,0
"7","26/03/2020","Las Palmas",97,32,0
"8","26/03/2020","Santa Cruz de Tenerife",218,45,0
"9","27/03/2020","Las Palmas",102,36,16
"10","27/03/2020","Santa Cruz de Tenerife",240,46,0
"11","28/03/2020","Las Palmas",112,39,0
"12","28/03/2020","Santa Cruz de Tenerife",251,50,1
"13","29/03/2020","Las Palmas",114,40,0
"14","29/03/2020","Santa Cruz de Tenerife",281,53,1
"15","30/03/2020","Las Palmas",111,43,0
"16","30/03/2020","Santa Cruz de Tenerife",273,56,0
"17","31/03/2020","Las Palmas",101,45,0
"18","31/03/2020","Santa Cruz de Tenerife",236,60,0
"19","01/04/2020","Las Palmas",92,48,0
"20","01/04/2020","Santa Cruz de Tenerife",249,59,0
"21","02/04/2020","Las Palmas",79,49,0
"22","02/04/2020","Santa Cruz de Tenerife",253,56,0
"23","03/04/2020","Las Palmas",75,50,0
"24","03/04/2020","Santa Cruz de Tenerife",263,50,0
"25","04/04/2020","Las Palmas",73,50,0
"26","04/04/2020","Santa Cruz de Tenerife",271,51,0
"27","05/04/2020","Las Palmas",82,48,0
"28","05/04/2020","Santa Cruz de Tenerife",286,50,0
"29","06/04/2020","Las Palmas",75,47,0
"30","06/04/2020","Santa Cruz de Tenerife",302,48,0
"31","07/04/2020","Las Palmas",192,80,0
"32","07/04/2020","Santa Cruz de Tenerife",181,22,0
"33","08/04/2020","Las Palmas",58,46,5
"34","08/04/2020","Santa Cruz de Tenerife",312,43,0
"35","09/04/2020","Las Palmas",64,45,0
"36","09/04/2020","Santa Cruz de Tenerife",312,47,0
"37","10/04/2020","Las Palmas",61,42,0
"38","10/04/2020","Santa Cruz de Tenerife",294,45,0
"39","11/04/2020","Las Palmas",61,43,0
"40","11/04/2020","Santa Cruz de Tenerife",275,47,0
"41","12/04/2020","Las Palmas",63,42,0
"42","12/04/2020","Santa Cruz de Tenerife",293,44,0
"43","13/04/2020","Las Palmas",51,41,0
"44","13/04/2020","Santa Cruz de Tenerife",289,47,0
"45","14/04/2020","Las Palmas",51,37,0
"46","14/04/2020","Santa Cruz de Tenerife",286,46,0
"47","15/04/2020","Las Palmas",51,34,0
"48","15/04/2020","Santa Cruz de Tenerife",265,43,0
"49","16/04/2020","Las Palmas",50,31,0
"50","16/04/2020","Santa Cruz de Tenerife",263,41,0
"51","17/04/2020","Las Palmas",50,29,0
"52","17/04/2020","Santa Cruz de Tenerife",220,40,0
"53","18/04/2020","Las Palmas",48,30,0
"54","18/04/2020","Santa Cruz de Tenerife",208,40,0
"55","19/04/2020","Las Palmas",48,30,0
"56","19/04/2020","Santa Cruz de Tenerife",187,43,0
"57","20/04/2020","Las Palmas",41,29,0
"58","20/04/2020","Santa Cruz de Tenerife",196,40,0
"59","21/04/2020","Las Palmas",41,28,0
"60","21/04/2020","Santa Cruz de Tenerife",191,39,0
"61","22/04/2020","Las Palmas",36,25,0
"62","22/04/2020","Santa Cruz de Tenerife",158,37,0
"63","23/04/2020","Las Palmas",31,24,0
"64","23/04/2020","Santa Cruz de Tenerife",149,36,0
"65","24/04/2020","Las Palmas",27,22,0
"66","24/04/2020","Santa Cruz de Tenerife",137,33,0
"67","25/04/2020","Las Palmas",75,42,0
"68","25/04/2020","Santa Cruz de Tenerife",84,13,0
"69","26/04/2020","Las Palmas",23,21,0
"70","26/04/2020","Santa Cruz de Tenerife",137,32,0
"71","27/04/2020","Las Palmas",25,20,0
"72","27/04/2020","Santa Cruz de Tenerife",126,26,0
"73","28/04/2020","Las Palmas",23,18,0
"74","28/04/2020","Santa Cruz de Tenerife",125,31,0
"75","29/04/2020","Las Palmas",21,18,0
"76","29/04/2020","Santa Cruz de Tenerife",121,28,0
"77","30/04/2020","Las Palmas",18,17,0
"78","30/04/2020","Santa Cruz de Tenerife",117,29,0
"79","01/05/2020","Las Palmas",21,17,0
"80","01/05/2020","Santa Cruz de Tenerife",103,26,0
"81","02/05/2020","Las Palmas",21,16,0
"82","02/05/2020","Santa Cruz de Tenerife",90,27,0
"83","03/05/2020","Las Palmas",18,14,0
"84","03/05/2020","Santa Cruz de Tenerife",97,26,0
"85","04/05/2020","Las Palmas",21,10,0
"86","04/05/2020","Santa Cruz de Tenerife",104,22,0
"87","05/05/2020","Las Palmas",19,10,0
"88","05/05/2020","Santa Cruz de Tenerife",110,15,0
"89","06/05/2020","Las Palmas",18,10,0
"90","06/05/2020","Santa Cruz de Tenerife",108,14,0
"91","07/05/2020","Las Palmas",10,10,0
"92","07/05/2020","Santa Cruz de Tenerife",105,10,0
"93","08/05/2020","Las Palmas",12,10,0
"94","08/05/2020","Santa Cruz de Tenerife",93,10,0
"95","09/05/2020","Las Palmas",13,10,0
"96","09/05/2020","Santa Cruz de Tenerife",90,11,0
"97","10/05/2020","Las Palmas",13,11,0
"98","10/05/2020","Santa Cruz de Tenerife",83,10,0
"99","11/05/2020","Las Palmas",14,10,0
"100","11/05/2020","Santa Cruz de Tenerife",75,8,0
"101","12/05/2020","Las Palmas",11,10,0
"102","12/05/2020","Santa Cruz de Tenerife",76,8,0
"103","13/05/2020","Las Palmas",13,8,0
"104","13/05/2020","Santa Cruz de Tenerife",69,8,0
"105","14/05/2020","Las Palmas",10,6,0
"106","14/05/2020","Santa Cruz de Tenerife",68,13,0
"107","15/05/2020","Las Palmas",8,6,0
"108","15/05/2020","Santa Cruz de Tenerife",63,10,0
"109","16/05/2020","Las Palmas",8,6,0
"110","16/05/2020","Santa Cruz de Tenerife",58,8,0
"111","17/05/2020","Las Palmas",8,6,0
"112","17/05/2020","Santa Cruz de Tenerife",60,9,0
"113","18/05/2020","Las Palmas",8,6,0
"114","18/05/2020","Santa Cruz de Tenerife",60,10,1
"115","19/05/2020","Las Palmas",7,7,0
"116","19/05/2020","Santa Cruz de Tenerife",51,11,0
"117","20/05/2020","Las Palmas",7,7,0
"118","20/05/2020","Santa Cruz de Tenerife",47,10,0
"119","21/05/2020","Las Palmas",6,6,0
"120","21/05/2020","Santa Cruz de Tenerife",49,8,0
"121","22/05/2020","Las Palmas",7,6,0
"122","22/05/2020","Santa Cruz de Tenerife",41,9,0
"123","23/05/2020","Las Palmas",7,6,0
"124","23/05/2020","Santa Cruz de Tenerife",45,9,0
"125","24/05/2020","Las Palmas",8,6,0
"126","24/05/2020","Santa Cruz de Tenerife",38,7,0
"127","25/05/2020","Las Palmas",10,5,0
"128","25/05/2020","Santa Cruz de Tenerife",44,7,0
"129","26/05/2020","Las Palmas",10,3,0
"130","26/05/2020","Santa Cruz de Tenerife",46,6,0
"131","27/05/2020","Las Palmas",10,2,0
"132","27/05/2020","Santa Cruz de Tenerife",43,5,0
"133","28/05/2020","Las Palmas",13,2,0
"134","28/05/2020","Santa Cruz de Tenerife",36,5,0
"135","29/05/2020","Las Palmas",11,3,0
"136","29/05/2020","Santa Cruz de Tenerife",33,4,0
"137","30/05/2020","Las Palmas",11,3,0
"138","30/05/2020","Santa Cruz de Tenerife",34,5,0
"139","31/05/2020","Las Palmas",11,3,0
"140","31/05/2020","Santa Cruz de Tenerife",38,4,0
"141","01/06/2020","Las Palmas",9,4,0
"142","01/06/2020","Santa Cruz de Tenerife",34,6,0
"143","02/06/2020","Las Palmas",6,3,0
"144","02/06/2020","Santa Cruz de Tenerife",32,4,0
"145","03/06/2020","Las Palmas",10,2,0
"146","03/06/2020","Santa Cruz de Tenerife",31,3,0
"147","04/06/2020","Las Palmas",9,2,0
"148","04/06/2020","Santa Cruz de Tenerife",29,2,0
"149","05/06/2020","Las Palmas",4,2,0
"150","05/06/2020","Santa Cruz de Tenerife",30,2,0
"151","06/06/2020","Las Palmas",5,1,0
"152","06/06/2020","Santa Cruz de Tenerife",28,2,0
"153","07/06/2020","Las Palmas",5,1,0
"154","07/06/2020","Santa Cruz de Tenerife",30,2,0
"155","08/06/2020","Las Palmas",6,1,0
"156","08/06/2020","Santa Cruz de Tenerife",26,2,0
"157","09/06/2020","Las Palmas",7,1,0
"158","09/06/2020","Santa Cruz de Tenerife",23,2,0
"159","10/06/2020","Las Palmas",3,1,0
"160","10/06/2020","Santa Cruz de Tenerife",23,2,0
"161","11/06/2020","Las Palmas",3,1,0
"162","11/06/2020","Santa Cruz de Tenerife",23,1,0
"163","12/06/2020","Las Palmas",4,1,0
"164","12/06/2020","Santa Cruz de Tenerife",22,2,0
"165","13/06/2020","Las Palmas",4,1,0
"166","13/06/2020","Santa Cruz de Tenerife",24,3,0
"167","14/06/2020","Las Palmas",4,1,0
"168","14/06/2020","Santa Cruz de Tenerife",17,1,0
"169","15/06/2020","Las Palmas",8,1,0
"170","15/06/2020","Santa Cruz de Tenerife",17,1,0
"171","16/06/2020","Las Palmas",8,2,0
"172","16/06/2020","Santa Cruz de Tenerife",23,1,0
"173","17/06/2020","Las Palmas",4,2,0
"174","17/06/2020","Santa Cruz de Tenerife",19,1,0
"175","18/06/2020","Las Palmas",4,2,0
"176","18/06/2020","Santa Cruz de Tenerife",18,1,0
"177","19/06/2020","Las Palmas",5,2,0
"178","19/06/2020","Santa Cruz de Tenerife",20,1,1
"179","20/06/2020","Las Palmas",5,2,0
"180","20/06/2020","Santa Cruz de Tenerife",20,1,1
"181","21/06/2020","Las Palmas",4,2,0
"182","21/06/2020","Santa Cruz de Tenerife",25,2,1
"183","22/06/2020","Las Palmas",4,2,0
"184","22/06/2020","Santa Cruz de Tenerife",17,2,0
"185","23/06/2020","Las Palmas",4,2,0
"186","23/06/2020","Santa Cruz de Tenerife",16,2,0
"187","24/06/2020","Las Palmas",10,2,2
"188","24/06/2020","Santa Cruz de Tenerife",14,2,0
"189","25/06/2020","Las Palmas",3,2,0
"190","25/06/2020","Santa Cruz de Tenerife",12,1,0
"191","26/06/2020","Las Palmas",5,3,0
"192","26/06/2020","Santa Cruz de Tenerife",11,1,0
