Fecha report,provincia,Hospitalizados,UCI
24/04/2020,Almería,39,12
24/04/2020,Cádiz,112,25
24/04/2020,Córdoba,62,23
24/04/2020,Granada,202,38
24/04/2020,Huelva,29,12
24/04/2020,Jaén,84,20
24/04/2020,Málaga,164,35
24/04/2020,Sevilla,168,41
25/04/2020,Almería,34,12
25/04/2020,Cádiz,108,24
25/04/2020,Córdoba,57,21
25/04/2020,Granada,191,38
25/04/2020,Huelva,25,9
25/04/2020,Jaén,80,19
25/04/2020,Málaga,146,34
25/04/2020,Sevilla,155,38
26/04/2020,Almería,33,10
26/04/2020,Cádiz,110,23
26/04/2020,Córdoba,55,18
26/04/2020,Granada,196,36
26/04/2020,Huelva,26,9
26/04/2020,Jaén,86,20
26/04/2020,Málaga,145,33
26/04/2020,Sevilla,159,38
27/04/2020,Almería,32,10
27/04/2020,Cádiz,113,23
27/04/2020,Córdoba,53,18
27/04/2020,Granada,192,34
27/04/2020,Huelva,31,9
27/04/2020,Jaén,79,20
27/04/2020,Málaga,145,32
27/04/2020,Sevilla,159,37
28/04/2020,Almería,34,9
28/04/2020,Cádiz,105,20
28/04/2020,Córdoba,55,17
28/04/2020,Granada,174,34
28/04/2020,Huelva,30,7
28/04/2020,Jaén,74,20
28/04/2020,Málaga,129,27
28/04/2020,Sevilla,148,38
29/04/2020,Almería,33,8
29/04/2020,Cádiz,108,20
29/04/2020,Córdoba,54,18
29/04/2020,Granada,158,31
29/04/2020,Huelva,23,6
29/04/2020,Jaén,68,20
29/04/2020,Málaga,123,26
29/04/2020,Sevilla,137,37
30/04/2020,Almería,28,6
30/04/2020,Cádiz,106,20
30/04/2020,Córdoba,47,18
30/04/2020,Granada,149,28
30/04/2020,Huelva,18,5
30/04/2020,Jaén,77,19
30/04/2020,Málaga,119,25
30/04/2020,Sevilla,130,37
01/05/2020,Almería,26,5
01/05/2020,Cádiz,105,18
01/05/2020,Córdoba,45,15
01/05/2020,Granada,124,30
01/05/2020,Huelva,16,5
01/05/2020,Jaén,69,16
01/05/2020,Málaga,117,24
01/05/2020,Sevilla,112,36
02/05/2020,Almería,27,4
02/05/2020,Cádiz,98,20
02/05/2020,Córdoba,43,14
02/05/2020,Granada,123,28
02/05/2020,Huelva,16,5
02/05/2020,Jaén,72,17
02/05/2020,Málaga,112,23
02/05/2020,Sevilla,106,31
03/05/2020,Almería,25,4
03/05/2020,Cádiz,88,18
03/05/2020,Córdoba,44,14
03/05/2020,Granada,125,28
03/05/2020,Huelva,12,4
03/05/2020,Jaén,76,16
03/05/2020,Málaga,111,21
03/05/2020,Sevilla,102,31
04/05/2020,Almería,25,4
04/05/2020,Cádiz,85,18
04/05/2020,Córdoba,41,14
04/05/2020,Granada,125,28
04/05/2020,Huelva,8,4
04/05/2020,Jaén,75,16
04/05/2020,Málaga,109,21
04/05/2020,Sevilla,101,31
05/05/2020,Almería,24,3
05/05/2020,Cádiz,92,18
05/05/2020,Córdoba,37,13
05/05/2020,Granada,119,24
05/05/2020,Huelva,8,4
05/05/2020,Jaén,76,15
05/05/2020,Málaga,97,17
05/05/2020,Sevilla,93,26
06/05/2020,Almería,24,1
06/05/2020,Cádiz,83,15
06/05/2020,Córdoba,37,11
06/05/2020,Granada,115,22
06/05/2020,Huelva,4,3
06/05/2020,Jaén,77,14
06/05/2020,Málaga,86,13
06/05/2020,Sevilla,81,26
07/05/2020,Almería,25,3
07/05/2020,Cádiz,76,15
07/05/2020,Córdoba,33,13
07/05/2020,Granada,103,22
07/05/2020,Huelva,4,3
07/05/2020,Jaén,67,14
07/05/2020,Málaga,84,14
07/05/2020,Sevilla,80,24
08/05/2020,Almería,19,2
08/05/2020,Cádiz,68,14
08/05/2020,Córdoba,37,13
08/05/2020,Granada,100,20
08/05/2020,Huelva,5,3
08/05/2020,Jaén,61,13
08/05/2020,Málaga,84,13
08/05/2020,Sevilla,71,24
09/05/2020,Almería,20,2
09/05/2020,Cádiz,58,14
09/05/2020,Córdoba,35,13
09/05/2020,Granada,82,18
09/05/2020,Huelva,5,3
09/05/2020,Jaén,52,12
09/05/2020,Málaga,80,13
09/05/2020,Sevilla,62,22
10/05/2020,Almería,21,2
10/05/2020,Cádiz,60,13
10/05/2020,Córdoba,32,12
10/05/2020,Granada,88,18
10/05/2020,Huelva,4,3
10/05/2020,Jaén,55,13
10/05/2020,Málaga,76,14
10/05/2020,Sevilla,70,22
11/05/2020,Almería,22,3
11/05/2020,Cádiz,57,13
11/05/2020,Córdoba,34,13
11/05/2020,Granada,87,18
11/05/2020,Huelva,5,4
11/05/2020,Jaén,53,12
11/05/2020,Málaga,71,14
11/05/2020,Sevilla,66,22
12/05/2020,Almería,20,3
12/05/2020,Cádiz,48,12
12/05/2020,Córdoba,35,13
12/05/2020,Granada,77,17
12/05/2020,Huelva,4,3
12/05/2020,Jaén,46,10
12/05/2020,Málaga,63,10
12/05/2020,Sevilla,64,22
13/05/2020,Almería,21,3
13/05/2020,Cádiz,50,12
13/05/2020,Córdoba,31,12
13/05/2020,Granada,69,17
13/05/2020,Huelva,6,3
13/05/2020,Jaén,43,9
13/05/2020,Málaga,64,13
13/05/2020,Sevilla,62,22
14/05/2020,Almería,19,2
14/05/2020,Cádiz,37,9
14/05/2020,Córdoba,30,12
14/05/2020,Granada,62,15
