fecha,provincia,total_dosis_administradas,personas_con_2_dosis
25/02/2021,Almería,55325,17406
25/02/2021,Cádiz,98620,31476
25/02/2021,Córdoba,85657,25749
25/02/2021,Granada,91444,27797
25/02/2021,Huelva,42983,13622
25/02/2021,Jaén,66197,19792
25/02/2021,Málaga,129780,39822
25/02/2021,Sevilla,155014,49389
26/02/2021,Almería,57266,17707
26/02/2021,Cádiz,102934,31987
26/02/2021,Córdoba,90334,26152
26/02/2021,Granada,95059,27924
26/02/2021,Huelva,43898,13867
26/02/2021,Jaén,68765,20141
26/02/2021,Málaga,135823,40544
26/02/2021,Sevilla,160261,50254
27/02/2021,Almería,58581,17708
27/02/2021,Cádiz,104850,31988
27/02/2021,Córdoba,94145,26152
27/02/2021,Granada,95264,27924
27/02/2021,Huelva,46884,13867
27/02/2021,Jaén,68889,20141
27/02/2021,Málaga,136114,40682
27/02/2021,Sevilla,161963,50256
28/02/2021,Almería,59338,17708
28/02/2021,Cádiz,105779,31988
28/02/2021,Córdoba,94148,26152
28/02/2021,Granada,95301,27924
28/02/2021,Huelva,46884,13867
28/02/2021,Jaén,68985,20141
28/02/2021,Málaga,136114,40682
28/02/2021,Sevilla,163820,50256
01/03/2021,Almería,59987,17710
01/03/2021,Cádiz,106594,32077
01/03/2021,Córdoba,94388,26152
01/03/2021,Granada,95302,27924
01/03/2021,Huelva,46884,13867
01/03/2021,Jaén,69009,20141
01/03/2021,Málaga,136119,40682
01/03/2021,Sevilla,166892,50256
02/03/2021,Almería,62277,18059
02/03/2021,Cádiz,110450,32851
02/03/2021,Córdoba,96057,26314
02/03/2021,Granada,98452,28519
02/03/2021,Huelva,48645,14576
02/03/2021,Jaén,70121,20521
02/03/2021,Málaga,139354,41057
02/03/2021,Sevilla,172491,51543
03/03/2021,Almería,65114,18187
03/03/2021,Cádiz,116180,33348
03/03/2021,Córdoba,100272,26878
03/03/2021,Granada,103239,29447
03/03/2021,Huelva,51852,15021
03/03/2021,Jaén,74293,20773
03/03/2021,Málaga,145770,41928
03/03/2021,Sevilla,179936,52702
04/03/2021,Almería,67419,18654
04/03/2021,Cádiz,120790,33888
04/03/2021,Córdoba,105872,27129
04/03/2021,Granada,108820,30423
04/03/2021,Huelva,55674,15319
04/03/2021,Jaén,78658,21177
04/03/2021,Málaga,153701,42914
04/03/2021,Sevilla,192355,54689
05/03/2021,Almería,69785,19490
05/03/2021,Cádiz,125909,34904
05/03/2021,Córdoba,109945,27813
05/03/2021,Granada,112622,31333
05/03/2021,Huelva,58831,15966
05/03/2021,Jaén,83614,21970
05/03/2021,Málaga,160218,43877
05/03/2021,Sevilla,199561,56862
06/03/2021,Almería,71557,19503
06/03/2021,Cádiz,128400,35825
06/03/2021,Córdoba,111172,28149
06/03/2021,Granada,112636,31333
06/03/2021,Huelva,61530,16326
06/03/2021,Jaén,83631,21970
06/03/2021,Málaga,160402,43879
06/03/2021,Sevilla,202901,57687
07/03/2021,Almería,71805,19505
07/03/2021,Cádiz,129441,36258
07/03/2021,Córdoba,112268,28918
07/03/2021,Granada,112637,31333
07/03/2021,Huelva,61530,16326
07/03/2021,Jaén,83631,21970
07/03/2021,Málaga,160407,43879
07/03/2021,Sevilla,202989,57687
08/03/2021,Almería,73616,20037
08/03/2021,Cádiz,131720,37094
08/03/2021,Córdoba,113381,29594
08/03/2021,Granada,114083,32335
08/03/2021,Huelva,61755,16517
08/03/2021,Jaén,84634,22593
08/03/2021,Málaga,163011,44388
08/03/2021,Sevilla,210046,60741
09/03/2021,Almería,75814,21036
09/03/2021,Cádiz,133813,38315
09/03/2021,Córdoba,115221,31218
09/03/2021,Granada,115777,33180
09/03/2021,Huelva,62430,16780
09/03/2021,Jaén,86224,23819
09/03/2021,Málaga,167412,46378
09/03/2021,Sevilla,216199,64556
10/03/2021,Almería,78286,22253
10/03/2021,Cádiz,138273,41112
10/03/2021,Córdoba,117352,32621
10/03/2021,Granada,118322,34187
10/03/2021,Huelva,63004,16928
10/03/2021,Jaén,88484,25441
10/03/2021,Málaga,173939,50434
10/03/2021,Sevilla,224681,70015
11/03/2021,Almería,81623,24192
11/03/2021,Cádiz,143775,44164
11/03/2021,Córdoba,122514,37485
11/03/2021,Granada,125369,39456
11/03/2021,Huelva,67523,19769
11/03/2021,Jaén,91169,27163
11/03/2021,Málaga,182400,55744
11/03/2021,Sevilla,233516,74977
12/03/2021,Almería,84885,25601
12/03/2021,Cádiz,147844,46851
12/03/2021,Córdoba,127563,40840
12/03/2021,Granada,131114,43725
12/03/2021,Huelva,70036,21342
12/03/2021,Jaén,94569,29552
12/03/2021,Málaga,190582,60347
12/03/2021,Sevilla,242123,80015
13/03/2021,Almería,86571,26682
13/03/2021,Cádiz,149262,48185
13/03/2021,Córdoba,129480,41703
13/03/2021,Granada,131660,44259
13/03/2021,Huelva,70051,21342
13/03/2021,Jaén,95366,30335
13/03/2021,Málaga,191106,60850
13/03/2021,Sevilla,242730,80548
