Fecha;Territorio;Medida;Valor;
22/07/2022;Andalucía;Confirmados PDIA;1578019;
22/07/2022;Andalucía;Aumento;4096;
22/07/2022;Andalucía;Confirmados PDIA 14 días;14127;
22/07/2022;Andalucía;Confirmados PDIA 7 días;5200;
22/07/2022;Andalucía;Total confirmados ;1583837;
22/07/2022;Andalucía;Hospitalizados;79077;
22/07/2022;Andalucía;Total UCI;7183;
22/07/2022;Andalucía;Fallecidos;14586;
22/07/2022;Andalucía;Curados;1529041;
22/07/2022;Almería;Confirmados PDIA;152474;
22/07/2022;Almería;Aumento;558;
22/07/2022;Almería;Confirmados PDIA 14 días;1809;
22/07/2022;Almería;Confirmados PDIA 7 días;734;
22/07/2022;Almería;Total confirmados ;152800;
22/07/2022;Almería;Hospitalizados;6219;
22/07/2022;Almería;Total UCI;896;
22/07/2022;Almería;Fallecidos;1283;
22/07/2022;Almería;Curados;148288;
22/07/2022;Cádiz;Confirmados PDIA;215788;
22/07/2022;Cádiz;Aumento;434;
22/07/2022;Cádiz;Confirmados PDIA 14 días;1375;
22/07/2022;Cádiz;Confirmados PDIA 7 días;465;
22/07/2022;Cádiz;Total confirmados ;216193;
22/07/2022;Cádiz;Hospitalizados;8256;
22/07/2022;Cádiz;Total UCI;743;
22/07/2022;Cádiz;Fallecidos;1893;
22/07/2022;Cádiz;Curados;210459;
22/07/2022;Córdoba;Confirmados PDIA;163732;
22/07/2022;Córdoba;Aumento;408;
22/07/2022;Córdoba;Confirmados PDIA 14 días;1224;
22/07/2022;Córdoba;Confirmados PDIA 7 días;500;
22/07/2022;Córdoba;Total confirmados ;164270;
22/07/2022;Córdoba;Hospitalizados;8021;
22/07/2022;Córdoba;Total UCI;816;
22/07/2022;Córdoba;Fallecidos;1510;
22/07/2022;Córdoba;Curados;159026;
22/07/2022;Granada;Confirmados PDIA;192628;
22/07/2022;Granada;Aumento;404;
22/07/2022;Granada;Confirmados PDIA 14 días;1493;
22/07/2022;Granada;Confirmados PDIA 7 días;497;
22/07/2022;Granada;Total confirmados ;193474;
22/07/2022;Granada;Hospitalizados;12241;
22/07/2022;Granada;Total UCI;1255;
22/07/2022;Granada;Fallecidos;2221;
22/07/2022;Granada;Curados;185919;
22/07/2022;Huelva;Confirmados PDIA;95344;
22/07/2022;Huelva;Aumento;333;
22/07/2022;Huelva;Confirmados PDIA 14 días;1176;
22/07/2022;Huelva;Confirmados PDIA 7 días;463;
22/07/2022;Huelva;Total confirmados ;95581;
22/07/2022;Huelva;Hospitalizados;4550;
22/07/2022;Huelva;Total UCI;281;
22/07/2022;Huelva;Fallecidos;523;
22/07/2022;Huelva;Curados;89996;
22/07/2022;Jaén;Confirmados PDIA;129290;
22/07/2022;Jaén;Aumento;473;
22/07/2022;Jaén;Confirmados PDIA 14 días;1746;
22/07/2022;Jaén;Confirmados PDIA 7 días;610;
22/07/2022;Jaén;Total confirmados ;129857;
22/07/2022;Jaén;Hospitalizados;7121;
22/07/2022;Jaén;Total UCI;571;
22/07/2022;Jaén;Fallecidos;1468;
22/07/2022;Jaén;Curados;125384;
22/07/2022;Málaga;Confirmados PDIA;308040;
22/07/2022;Málaga;Aumento;965;
22/07/2022;Málaga;Confirmados PDIA 14 días;3416;
22/07/2022;Málaga;Confirmados PDIA 7 días;1281;
22/07/2022;Málaga;Total confirmados ;310045;
22/07/2022;Málaga;Hospitalizados;15188;
22/07/2022;Málaga;Total UCI;1160;
22/07/2022;Málaga;Fallecidos;2533;
22/07/2022;Málaga;Curados;298847;
