date,province,cases_accumulated,new_cases,deceased,recovered,ccaa,PCR,TestAc,activos,hospitalized_accumulated,intensive_care,cases_accumulated_PCR,source_name,source,ine_code,poblacion
2020-03-02,Zaragoza,0,NA,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-02,Huesca,0,NA,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-02,Teruel,0,NA,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-03,Zaragoza,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-03,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-03,Teruel,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-04,Zaragoza,0,0,1,0,Aragón,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
2020-03-04,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-04,Teruel,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-05,Zaragoza,0,0,1,0,Aragón,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
2020-03-05,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-05,Teruel,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-06,Zaragoza,0,0,1,0,Aragón,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
2020-03-06,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-06,Teruel,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-07,Zaragoza,0,0,1,0,Aragón,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
2020-03-07,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-07,Teruel,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-08,Zaragoza,0,0,3,0,Aragón,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA
2020-03-08,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-08,Teruel,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-09,Zaragoza,2,2,4,0,Aragón,NA,NA,28,14,NA,NA,Gobierno de Aragón,http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257068,50,964693
2020-03-09,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-09,Teruel,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-10,Zaragoza,4,2,5,0,Aragón,NA,NA,33,16,NA,NA,Gobierno de Aragón,http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257233,50,964693
2020-03-10,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2020-03-10,Teruel,0,0,0,0,Aragón,NA,NA,0,3,NA,NA,Lacomarca.net,https://www.lacomarca.net/tres-casos-coronavirus-residencia-ancianos-provincia-teruel/,44,134137
2020-03-11,Zaragoza,41,37,7,0,Aragón,NA,NA,40,18,NA,NA,Gobierno de Aragón,http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257332,50,964693
2020-03-11,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,Heraldo.es,https://www.heraldo.es/noticias/aragon/huesca/2020/03/12/el-concejal-de-vox-en-huesca-primer-caso-de-coronavirus-conocido-en-la-provincia-1363617.html,22,220461
2020-03-11,Teruel,0,0,0,0,Aragón,NA,NA,3,3,NA,NA,Gobierno de Aragón,http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.257332,44,134137
2020-03-12,Zaragoza,57,16,8,0,Aragón,NA,NA,54,NA,NA,NA,RTVE,Mapa de RTVE,50,964693
2020-03-12,Huesca,0,0,0,0,Aragón,NA,NA,0,NA,NA,NA,Heraldo.es,https://www.heraldo.es/noticias/aragon/huesca/2020/03/12/el-concejal-de-vox-en-huesca-primer-caso-de-coronavirus-conocido-en-la-provincia-1363617.html,22,220461
2020-03-12,Teruel,3,3,0,0,Aragón,NA,NA,3,NA,NA,NA,diariodeteruel.es,https://www.diariodeteruel.es/noticia.asp?notid=1022484,44,134137
2020-03-13,Zaragoza,78,21,8,0,Aragón,NA,NA,68,NA,NA,NA,RTVE,Mapa de RTVE,50,964693
2020-03-13,Huesca,2,2,0,0,Aragón,NA,NA,2,NA,NA,NA,RTVE,Mapa de RTVE,22,220461
2020-03-13,Teruel,8,5,0,0,Aragón,NA,NA,8,NA,NA,NA,RTVE,Mapa de RTVE,44,134137
2020-03-14,Zaragoza,113,35,10,0,Aragón,NA,NA,109,NA,NA,NA,RTVE,Mapa de RTVE y http://aragonhoy.net/index.php/mod.noticias/mem.detalle/area.1050/id.257447,50,964693
2020-03-14,Huesca,4,2,0,0,Aragón,NA,NA,4,NA,NA,NA,RTVE,Mapa de RTVE,22,220461
2020-03-14,Teruel,8,0,0,0,Aragón,NA,NA,8,NA,NA,NA,RTVE,Mapa de RTVE,44,134137
2020-03-15,Zaragoza,135,22,11,0,Aragón,NA,NA,123,NA,NA,NA,RTVE,Mapa de RTVE y http://aragonhoy.net/index.php/mod.noticias/mem.detalle/area.1050/id.257489,50,964693
2020-03-15,Huesca,15,11,0,0,Aragón,NA,NA,15,NA,NA,NA,diariodelaltoaragon.es,https://www.diariodelaltoaragon.es/NoticiasDetalle.aspx?Id=1199912,22,220461
2020-03-15,Teruel,11,3,0,0,Aragón,NA,NA,11,NA,NA,NA,RTVE,Mapa de RTVE,44,134137
2020-03-16,Zaragoza,156,21,13,0,Aragón,NA,NA,134,NA,NA,NA,Gobierno de Aragón,http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257547,50,964693
2020-03-16,Huesca,15,0,0,0,Aragón,NA,NA,15,NA,NA,NA,Gobierno de Aragón,http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/id.257548,22,220461
