date,cases_accumulated,recovered,deceased,Isla,hospitalized,intensive_care
2020-04-01,3,0,0,El Hierro,1,0
2020-04-02,3,0,0,El Hierro,1,0
2020-04-03,3,1,0,El Hierro,2,0
2020-04-04,3,1,0,El Hierro,2,0
2020-04-05,3,1,0,El Hierro,1,0
2020-04-06,3,1,0,El Hierro,2,0
2020-04-07,3,1,0,El Hierro,1,0
2020-04-08,3,2,0,El Hierro,1,0
2020-04-09,3,2,0,El Hierro,2,0
2020-04-10,3,2,0,El Hierro,2,0
2020-04-11,3,2,0,El Hierro,2,0
2020-04-12,3,2,0,El Hierro,0,0
2020-04-13,3,2,0,El Hierro,0,0
2020-04-14,3,2,0,El Hierro,0,0
2020-04-15,3,2,0,El Hierro,0,0
2020-04-16,3,2,0,El Hierro,0,0
2020-04-17,3,2,0,El Hierro,0,0
2020-04-18,3,2,0,El Hierro,0,0
2020-04-19,3,2,0,El Hierro,0,0
2020-04-20,3,2,0,El Hierro,0,0
2020-04-21,3,2,0,El Hierro,0,0
2020-04-22,3,2,0,El Hierro,0,0
2020-04-23,3,2,0,El Hierro,0,0
2020-04-24,3,2,0,El Hierro,0,0
2020-04-25,3,2,0,El Hierro,0,0
2020-04-26,3,2,0,El Hierro,0,0
2020-04-27,3,2,0,El Hierro,0,0
2020-04-28,3,2,0,El Hierro,0,0
2020-04-29,3,2,0,El Hierro,1,0
2020-04-30,3,2,0,El Hierro,0,0
2020-08-01,3,3,0,El Hierro,0,0
2020-08-02,3,3,0,El Hierro,0,0
2020-08-03,3,3,0,El Hierro,0,0
2020-08-04,3,3,0,El Hierro,0,0
2020-08-05,3,3,0,El Hierro,0,0
2020-08-06,3,3,0,El Hierro,0,0
2020-08-07,3,3,0,El Hierro,0,0
2020-08-08,3,3,0,El Hierro,0,0
2020-08-09,3,3,0,El Hierro,0,0
2020-08-10,3,3,0,El Hierro,0,0
2020-08-11,3,3,0,El Hierro,0,0
2020-08-12,3,3,0,El Hierro,0,0
2020-08-13,3,3,0,El Hierro,0,0
2020-08-14,3,3,0,El Hierro,0,0
2020-08-15,3,3,0,El Hierro,0,0
2020-08-16,3,3,0,El Hierro,0,0
2020-08-17,3,3,0,El Hierro,0,0
2020-08-18,3,3,0,El Hierro,0,0
2020-08-19,3,3,0,El Hierro,0,0
2020-08-20,3,3,0,El Hierro,0,0
2020-08-21,3,3,0,El Hierro,0,0
2020-08-22,5,3,0,El Hierro,0,0
2020-08-23,9,3,0,El Hierro,0,0
2020-08-24,11,3,0,El Hierro,0,0
2020-08-25,12,3,0,El Hierro,0,0
2020-08-26,12,3,0,El Hierro,0,0
2020-08-27,14,3,0,El Hierro,0,0
2020-08-28,14,3,0,El Hierro,0,0
2020-08-29,18,3,0,El Hierro,0,0
2020-08-30,39,3,0,El Hierro,0,0
2020-08-31,40,3,0,El Hierro,0,0
2020-12-01,69,67,1,El Hierro,0,0
2020-12-02,69,67,1,El Hierro,0,0
2020-12-03,69,68,1,El Hierro,0,0
2020-12-04,69,68,1,El Hierro,1,0
2020-12-05,69,68,1,El Hierro,1,0
2020-12-06,69,68,1,El Hierro,1,0
2020-12-07,69,68,1,El Hierro,1,0
2020-12-08,69,68,1,El Hierro,1,0
2020-12-09,69,68,1,El Hierro,1,0
2020-12-10,69,68,1,El Hierro,1,0
2020-12-11,69,68,1,El Hierro,1,0
2020-12-12,69,68,1,El Hierro,1,0
2020-12-13,69,68,1,El Hierro,1,0
2020-12-14,69,68,1,El Hierro,0,0
2020-12-15,69,68,1,El Hierro,1,0
2020-12-16,69,68,1,El Hierro,1,0
2020-12-17,70,68,1,El Hierro,0,0
2020-12-18,70,68,1,El Hierro,0,0
2020-12-19,70,68,1,El Hierro,0,0
2020-12-20,71,68,1,El Hierro,0,0
2020-12-21,72,68,1,El Hierro,0,0
2020-12-22,73,68,1,El Hierro,0,0
2020-12-23,73,68,1,El Hierro,0,0
2020-12-24,73,68,1,El Hierro,0,0
2020-12-25,73,68,1,El Hierro,0,0
2020-12-26,74,68,1,El Hierro,0,0
2020-12-27,74,68,1,El Hierro,0,0
2020-12-28,74,69,1,El Hierro,0,0
2020-12-29,79,69,1,El Hierro,NA,NA
2020-02-25,0,0,0,El Hierro,NA,NA
2020-02-27,0,0,0,El Hierro,NA,NA
2020-02-28,0,0,0,El Hierro,NA,NA
2020-02-29,0,0,0,El Hierro,NA,NA
2020-01-31,0,0,0,El Hierro,NA,NA
2020-07-01,3,3,0,El Hierro,0,0
2020-07-02,3,3,0,El Hierro,0,0
2020-07-03,3,3,0,El Hierro,0,0
2020-07-04,3,3,0,El Hierro,0,0
2020-07-06,3,3,0,El Hierro,0,0
2020-07-08,3,3,0,El Hierro,0,0
2020-07-09,3,3,0,El Hierro,0,0
2020-07-10,3,3,0,El Hierro,0,0
2020-07-11,3,3,0,El Hierro,0,0
2020-07-12,3,3,0,El Hierro,0,0
2020-07-13,3,3,0,El Hierro,0,0
2020-07-14,3,3,0,El Hierro,0,0
2020-07-15,3,3,0,El Hierro,0,0
2020-07-16,3,3,0,El Hierro,0,0
2020-07-17,3,3,0,El Hierro,0,0
2020-07-18,3,3,0,El Hierro,0,0
2020-07-19,3,3,0,El Hierro,0,0
2020-07-20,3,3,0,El Hierro,0,0
2020-07-21,3,3,0,El Hierro,0,0
2020-07-22,3,3,0,El Hierro,0,0
2020-07-23,3,3,0,El Hierro,0,0
2020-07-24,3,3,0,El Hierro,0,0
2020-07-25,3,3,0,El Hierro,0,0
2020-07-26,3,3,0,El Hierro,0,0
2020-07-27,3,3,0,El Hierro,0,0
2020-07-28,3,3,0,El Hierro,0,0
2020-07-29,3,3,0,El Hierro,0,0
2020-07-30,3,3,0,El Hierro,0,0
2020-07-31,3,3,0,El Hierro,0,0
2020-06-01,3,3,0,El Hierro,0,0
2020-06-02,3,3,0,El Hierro,1,0
2020-06-03,3,3,0,El Hierro,0,0
2020-06-04,3,3,0,El Hierro,0,0
2020-06-05,3,3,0,El Hierro,0,0
2020-06-06,3,3,0,El Hierro,2,0
2020-06-07,3,3,0,El Hierro,0,0
2020-06-08,3,3,0,El Hierro,0,0
2020-06-09,3,3,0,El Hierro,0,0
2020-06-10,3,3,0,El Hierro,0,0
2020-06-11,3,3,0,El Hierro,0,0
2020-06-12,3,3,0,El Hierro,0,0
2020-06-13,3,3,0,El Hierro,0,0
2020-06-14,3,3,0,El Hierro,0,0
2020-06-15,3,3,0,El Hierro,0,0
