"date","province","hospitalized","intensive_care"
"23/03/2020","Las Palmas",55,22
"23/03/2020","Santa Cruz de Tenerife",173,29
"24/03/2020","Las Palmas",78,25
"24/03/2020","Santa Cruz de Tenerife",179,38
"25/03/2020","Las Palmas",91,30
"25/03/2020","Santa Cruz de Tenerife",198,42
"26/03/2020","Las Palmas",97,32
"26/03/2020","Santa Cruz de Tenerife",218,45
"27/03/2020","Las Palmas",102,52
"27/03/2020","Santa Cruz de Tenerife",240,46
"28/03/2020","Las Palmas",112,39
"28/03/2020","Santa Cruz de Tenerife",251,51
"29/03/2020","Las Palmas",114,40
"29/03/2020","Santa Cruz de Tenerife",281,54
"30/03/2020","Las Palmas",111,43
"30/03/2020","Santa Cruz de Tenerife",273,56
"31/03/2020","Las Palmas",101,45
"31/03/2020","Santa Cruz de Tenerife",236,60
"01/04/2020","Las Palmas",92,48
"01/04/2020","Santa Cruz de Tenerife",249,59
"02/04/2020","Las Palmas",79,49
"02/04/2020","Santa Cruz de Tenerife",253,56
"03/04/2020","Las Palmas",75,50
"03/04/2020","Santa Cruz de Tenerife",263,50
"04/04/2020","Las Palmas",73,50
"04/04/2020","Santa Cruz de Tenerife",271,51
"05/04/2020","Las Palmas",82,48
"05/04/2020","Santa Cruz de Tenerife",286,50
"06/04/2020","Las Palmas",75,47
"06/04/2020","Santa Cruz de Tenerife",302,48
"07/04/2020","Las Palmas",192,80
"07/04/2020","Santa Cruz de Tenerife",181,22
"08/04/2020","Las Palmas",58,51
"08/04/2020","Santa Cruz de Tenerife",312,43
"09/04/2020","Las Palmas",64,45
"09/04/2020","Santa Cruz de Tenerife",312,47
"10/04/2020","Las Palmas",61,42
"10/04/2020","Santa Cruz de Tenerife",294,45
"11/04/2020","Las Palmas",61,43
"11/04/2020","Santa Cruz de Tenerife",275,47
"12/04/2020","Las Palmas",63,42
"12/04/2020","Santa Cruz de Tenerife",293,44
"13/04/2020","Las Palmas",51,41
"13/04/2020","Santa Cruz de Tenerife",289,47
"14/04/2020","Las Palmas",51,37
"14/04/2020","Santa Cruz de Tenerife",286,46
"15/04/2020","Las Palmas",51,34
"15/04/2020","Santa Cruz de Tenerife",265,43
"16/04/2020","Las Palmas",50,31
"16/04/2020","Santa Cruz de Tenerife",263,41
"17/04/2020","Las Palmas",50,29
"17/04/2020","Santa Cruz de Tenerife",220,40
"18/04/2020","Las Palmas",48,30
"18/04/2020","Santa Cruz de Tenerife",208,40
"19/04/2020","Las Palmas",48,30
"19/04/2020","Santa Cruz de Tenerife",187,43
"20/04/2020","Las Palmas",41,29
"20/04/2020","Santa Cruz de Tenerife",196,40
"21/04/2020","Las Palmas",41,28
"21/04/2020","Santa Cruz de Tenerife",191,39
"22/04/2020","Las Palmas",36,25
"22/04/2020","Santa Cruz de Tenerife",158,37
"23/04/2020","Las Palmas",31,24
"23/04/2020","Santa Cruz de Tenerife",149,36
"24/04/2020","Las Palmas",27,22
"24/04/2020","Santa Cruz de Tenerife",137,33
"25/04/2020","Las Palmas",75,42
"25/04/2020","Santa Cruz de Tenerife",84,13
"26/04/2020","Las Palmas",23,21
"26/04/2020","Santa Cruz de Tenerife",137,32
"27/04/2020","Las Palmas",25,20
"27/04/2020","Santa Cruz de Tenerife",126,26
"28/04/2020","Las Palmas",23,18
"28/04/2020","Santa Cruz de Tenerife",125,31
"29/04/2020","Las Palmas",21,18
"29/04/2020","Santa Cruz de Tenerife",121,28
"30/04/2020","Las Palmas",18,17
"30/04/2020","Santa Cruz de Tenerife",117,29
"01/05/2020","Las Palmas",21,17
"01/05/2020","Santa Cruz de Tenerife",103,26
"02/05/2020","Las Palmas",21,16
"02/05/2020","Santa Cruz de Tenerife",90,27
"03/05/2020","Las Palmas",18,14
"03/05/2020","Santa Cruz de Tenerife",97,26
"04/05/2020","Las Palmas",21,10
"04/05/2020","Santa Cruz de Tenerife",104,22
"05/05/2020","Las Palmas",19,10
"05/05/2020","Santa Cruz de Tenerife",110,15
"06/05/2020","Las Palmas",18,10
"06/05/2020","Santa Cruz de Tenerife",108,14
"07/05/2020","Las Palmas",10,10
"07/05/2020","Santa Cruz de Tenerife",105,10
"08/05/2020","Las Palmas",12,10
"08/05/2020","Santa Cruz de Tenerife",93,10
"09/05/2020","Las Palmas",13,10
"09/05/2020","Santa Cruz de Tenerife",90,11
"10/05/2020","Las Palmas",13,11
"10/05/2020","Santa Cruz de Tenerife",83,10
"11/05/2020","Las Palmas",14,10
"11/05/2020","Santa Cruz de Tenerife",75,8
"12/05/2020","Las Palmas",11,10
"12/05/2020","Santa Cruz de Tenerife",76,8
"13/05/2020","Las Palmas",13,8
"13/05/2020","Santa Cruz de Tenerife",69,8
"14/05/2020","Las Palmas",10,6
"14/05/2020","Santa Cruz de Tenerife",68,13
"15/05/2020","Las Palmas",8,6
"15/05/2020","Santa Cruz de Tenerife",63,10
"16/05/2020","Las Palmas",8,6
"16/05/2020","Santa Cruz de Tenerife",58,8
"17/05/2020","Las Palmas",8,6
"17/05/2020","Santa Cruz de Tenerife",60,9
"18/05/2020","Las Palmas",8,6
"18/05/2020","Santa Cruz de Tenerife",60,11
"19/05/2020","Las Palmas",7,7
"19/05/2020","Santa Cruz de Tenerife",51,11
"20/05/2020","Las Palmas",7,7
"20/05/2020","Santa Cruz de Tenerife",47,10
"21/05/2020","Las Palmas",6,6
"21/05/2020","Santa Cruz de Tenerife",49,8
"22/05/2020","Las Palmas",7,6
"22/05/2020","Santa Cruz de Tenerife",41,9
"23/05/2020","Las Palmas",7,6
"23/05/2020","Santa Cruz de Tenerife",45,9
"24/05/2020","Las Palmas",8,6
"24/05/2020","Santa Cruz de Tenerife",38,7
"25/05/2020","Las Palmas",10,5
"25/05/2020","Santa Cruz de Tenerife",44,7
"26/05/2020","Las Palmas",10,3
"26/05/2020","Santa Cruz de Tenerife",46,6
"27/05/2020","Las Palmas",10,2
"27/05/2020","Santa Cruz de Tenerife",43,5
"28/05/2020","Las Palmas",13,2
"28/05/2020","Santa Cruz de Tenerife",36,5
"29/05/2020","Las Palmas",11,3
"29/05/2020","Santa Cruz de Tenerife",33,4
"30/05/2020","Las Palmas",11,3
"30/05/2020","Santa Cruz de Tenerife",34,5
"31/05/2020","Las Palmas",11,3
"31/05/2020","Santa Cruz de Tenerife",38,4
"01/06/2020","Las Palmas",9,4
"01/06/2020","Santa Cruz de Tenerife",34,6
"02/06/2020","Las Palmas",6,3
"02/06/2020","Santa Cruz de Tenerife",32,4
"03/06/2020","Las Palmas",10,2
"03/06/2020","Santa Cruz de Tenerife",31,3
"04/06/2020","Las Palmas",9,2
"04/06/2020","Santa Cruz de Tenerife",29,2
"05/06/2020","Las Palmas",4,2
"05/06/2020","Santa Cruz de Tenerife",30,2
"06/06/2020","Las Palmas",5,1
"06/06/2020","Santa Cruz de Tenerife",28,2
"07/06/2020","Las Palmas",5,1
"07/06/2020","Santa Cruz de Tenerife",30,2
"08/06/2020","Las Palmas",6,1
"08/06/2020","Santa Cruz de Tenerife",26,2
"09/06/2020","Las Palmas",7,1
"09/06/2020","Santa Cruz de Tenerife",23,2
"10/06/2020","Las Palmas",3,1
"10/06/2020","Santa Cruz de Tenerife",23,2
"11/06/2020","Las Palmas",3,1
"11/06/2020","Santa Cruz de Tenerife",23,1
"12/06/2020","Las Palmas",4,1
"12/06/2020","Santa Cruz de Tenerife",22,2
"13/06/2020","Las Palmas",4,1
"13/06/2020","Santa Cruz de Tenerife",24,3
"14/06/2020","Las Palmas",4,1
"14/06/2020","Santa Cruz de Tenerife",17,1
"15/06/2020","Las Palmas",8,1
"15/06/2020","Santa Cruz de Tenerife",17,1
"16/06/2020","Las Palmas",8,2
"16/06/2020","Santa Cruz de Tenerife",23,1
"17/06/2020","Las Palmas",4,2
