"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","hospitalized_accumulated","hospitalized_new","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
"2020-02-10","Barcelona","Cataluña",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Transparencia Catalunya","https://analisi.transparenciacatalunya.cat/Salut/Registre-de-test-de-COVID-19-realitzats-a-Cataluny/jj6z-iyrp/data;https://code.montera34.com:4443/numeroteca/covid19/-/blob/master/data/output/spain/catalunya-cases-evolution-by-province.csv",""
"2020-02-20","Barcelona","Cataluña",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Transparencia Catalunya","https://analisi.transparenciacatalunya.cat/Salut/Registre-de-test-de-COVID-19-realitzats-a-Cataluny/jj6z-iyrp/data;https://code.montera34.com:4443/numeroteca/covid19/-/blob/master/data/output/spain/catalunya-cases-evolution-by-province.csv",""
"2020-02-27","Asturias","Asturias, Principado de",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-27","Balears, Illes","Balears, Illes",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-27","Cantabria","Cantabria",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-27","Barcelona","Cataluña",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"Transparencia Catalunya","https://analisi.transparenciacatalunya.cat/Salut/Registre-de-test-de-COVID-19-realitzats-a-Cataluny/jj6z-iyrp/data;https://code.montera34.com:4443/numeroteca/covid19/-/blob/master/data/output/spain/catalunya-cases-evolution-by-province.csv",""
"2020-02-27","Ceuta","Ceuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista)","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-27","Madrid","Madrid, Comunidad de",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-27","Melilla","Melilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-27","Murcia","Murcia, Región de",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-27","Navarra","Navarra, Comunidad Foral de",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-27","Rioja, La","Rioja, La",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-28","Asturias","Asturias, Principado de",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-28","Balears, Illes","Balears, Illes",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-28","Cantabria","Cantabria",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-28","Ceuta","Ceuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-28","Madrid","Madrid, Comunidad de",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-28","Melilla","Melilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-28","Murcia","Murcia, Región de",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-28","Navarra","Navarra, Comunidad Foral de",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-28","Rioja, La","Rioja, La",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-29","Asturias","Asturias, Principado de",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
"2020-02-29","Balears, Illes","Balears, Illes",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"Ministerio de Sanidad (Datadista);RTVE","Datadista (Ministerio de Sanidad) https://github.com/datadista/datasets/tree/master/COVID%2019","los activos son de flourish de rtve"
