,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-07,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-04,2021-01-05,2021-01-07,2021-01-08,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-18,2021-01-19,2021-02-20,2021-01-21,2021-01-22
Andalucia,912,940,967,993,1013,1017,1050,1079,1107,1131,1145,1157,1168,1188,1207,1238,1253,1256,1263,1267,1281,1294,1301,1317,1320,1322,1326,1332,1336,1344,1355,1358,1358,1358,1371,1375,1377,1389,1391,1334,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1426,1426,1426,1426,1426,1426,1426,1426,1426,1426,1426,1427,1428,1428,1433,1433,1433,1434,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1436,1436,1435,1435,1435,1435,1435,1437,1437,1438,1438,1443,1443,1443,1445,1445,1452,1455,1456,1456,1460,1466,1471,1475,1476,1480,1493,1500,1506,1509,1516,1537,1545,1550,1566,1573,1593,1614,1631,1656,1662,1690,1702,1714,1714,1744,1780,1805,1827,1845,1867,1885,1933,1941,1965,1979,2020,2020,2053,2065,2094,2137,2176,2182,2183,2270,2314,2370,2402,2432,2470,2570,2602,2664,2695,2781,2885,2975,3037,3105,3155,3264,3354,3424,3472,3527,3633,3725,3790,3842,3903,4018,4099,4184,4251,4296,4367,4437,4492,4524,4582,4631,4656,4681,4723,4841,4874,4912,4950,5032,5083,5100,5123,5146,5187,5210,5251,5329,5366,5401,5430,5470,5532,5600,5664,5720,5770
Aragon,543,562,601,619,637,643,656,681,695,709,712,726,735,736,739,749,761,761,762,770,788,800,815,823,824,825,828,829,836,837,838,838,838,843,843,848,858,858,858,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,911,911,911,911,911,911,911,912,912,912,912,912,912,912,912,913,913,913,913,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,937,937,937,937,937,991,991,991,992,992,993,994,1094,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1212,1212,1212,1212,1212,1212,1212,1212,1212,1302,1302,1335,1335,1360,1360,1360,1360,1360,1360,1411,1411,1411,1411,1411,1412,1470,1481,1485,1495,1501,1508,1528,1541,1543,1559,1566,1598,1613,1620,1627,1654,1691,1706,1730,1753,1780,1860,1881,1911,1943,1966,2039,2067,2106,2129,2148,2189,2208,2227,2251,2279,2314,2335,2344,2354,2360,2395,2416,2434,2450,2471,2503,2516,2525,2535,2552,2562,2577,2584,2596,2615,2623,2634,2653,2659,2659,2683,2704,2713,2724,2733,2745,2772,2782,2795,2808,2824
Asturias,168,174,187,196,200,202,211,223,231,239,249,253,261,266,273,273,279,280,284,284,287,292,292,293,295,299,304,307,308,310,313,315,317,303,304,307,307,307,308,288,310,310,310,310,310,310,310,310,310,311,312,313,314,314,314,314,314,314,314,314,314,314,314,314,333,333,333,333,333,333,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,335,335,335,335,335,335,335,335,335,335,337,338,338,338,338,339,340,340,341,341,341,342,342,342,343,344,344,346,349,349,350,350,351,351,354,356,357,361,364,365,371,371,377,383,391,409,414,419,427,437,466,484,497,520,534,582,603,622,649,661,732,739,755,775,800,857,883,904,929,954,1004,1021,1036,1054,1073,1153,1179,1197,1211,1238,1251,1258,1268,1276,1297,1302,1310,1313,1334,1339,1341,1343,1364,1366,1374,1376,1385,1387,1389,1392,1396,1409,1417,1424,1434,1445
Baleares,131,134,148,155,157,161,164,168,172,174,175,179,181,185,188,193,197,197,197,198,199,201,202,207,209,209,210,215,216,216,216,218,218,219,221,221,222,222,222,211,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,226,225,225,225,225,225,226,227,227,228,228,229,231,231,233,234,238,238,242,243,245,249,250,253,258,259,264,268,269,270,277,279,285,286,287,289,291,297,299,300,304,309,310,313,316,316,316,321,325,327,327,332,336,344,352,356,357,357,357,362,363,364,371,372,376,378,380,380,383,389,391,397,397,398,398,398,399,402,404,404,409,411,413,423,425,425,425,426,427,427,429,432,434,437,442,447,447,452,455,458,465,469,476,480,480,482,490,497,502,503,508,518,528,538,538,544
Canarias,107,111,115,119,119,120,121,121,128,130,131,131,133,134,135,136,140,140,141,142,143,144,148,148,148,149,151,151,151,151,151,151,153,155,155,155,155,157,157,150,150,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,164,164,164,164,164,166,166,166,166,167,167,168,169,171,172,174,174,175,178,179,185,187,189,189,189,194,200,205,207,209,214,216,218,218,220,232,232,232,232,236,237,239,239,240,241,247,248,250,250,251,257,259,265,266,267,270,273,277,278,282,286,289,294,295,296,301,306,308,310,311,312,318,319,321,322,326,333,334,336,339,344,344,345,346,346,346,353,354,358,366,368,370,375,378,388,394,398,398,408,411,414,415,429,439,443,447,451,453,457,461,466,476,484,490,493,494
Cantabria,137,144,149,153,158,165,167,173,178,182,183,186,188,191,191,192,193,195,197,198,199,200,201,201,201,201,203,205,205,206,206,207,207,208,209,209,209,209,209,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,219,220,220,220,220,220,220,221,221,221,221,221,221,221,221,221,224,224,225,226,227,227,227,227,227,227,228,228,231,232,232,232,232,233,234,234,235,235,235,237,237,237,237,237,237,240,240,240,242,247,247,247,248,248,248,250,251,252,252,255,255,254,257,258,264,267,269,270,274,279,282,291,292,293,297,297,298,300,304,312,316,320,321,324,331,336,339,340,345,351,355,359,362,363,363,364,365,381,387,388,393,399,401,402,402,405,405,406,408,412,415,417,417,418,436
Castilla La Mancha,1796,1852,1913,1963,2021,2075,2140,2188,2255,2292,2330,2365,2396,2436,2463,2498,2534,2565,2590,2616,2647,2677,2713,2738,2759,2786,2811,2835,2852,2870,2883,2893,2898,2900,2913,2919,2929,2934,2940,2788,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,3022,3022,3022,3022,3022,3022,3020,3024,3024,3024,3025,3026,3026,3026,3026,3027,3028,3029,3029,3029,3030,3030,3031,3032,3034,3033,3033,3032,3033,3032,3032,3032,3032,3032,3032,3034,3038,3038,3038,3038,3036,3035,3037,3037,3037,3038,3038,3038,3038,3038,3039,3040,3041,3041,3042,3043,3043,3046,3048,3048,3051,3053,3052,3052,3052,3057,3058,3059,3062,3065,3071,3075,3080,3093,3111,3135,3152,3178,3196,3211,3220,3225,3235,3244,3254,3266,3267,3277,3304,3322,3330,3331,3333,3336,3338,3349,3367,3383,3405,3425,3437,3445,3414,3438,3452,3475,3491,3504,3525,3545,3574,3584,3597,3635,3659,3687,3693,3722,3738,3761,3775,3786,3810,3819,3825,3839,3855,3871,3895,3949,3960,3976,3997,4009,4024,4042,4052,4059,4067,4074,4079,4086,4100,4108,4116,4117,4131,4139,4157,4159,4167,4208,4210,4223,4256,4288
Castilla y Leon,1372,1401,1429,1458,1493,1521,1554,1582,1612,1639,1666,1690,1710,1736,1752,1770,1788,1800,1818,1832,1847,1864,1876,1885,1897,1905,1914,1919,1925,1930,1940,1946,1953,1960,1960,1960,1961,1961,1961,1913,1922,1922,1922,1922,1923,1924,1924,1924,1925,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,2775,2776,2777,2778,2779,2780,2783,2783,2783,2783,2784,2784,2787,2787,2787,2787,2788,2788,2791,2792,2792,2793,2793,2793,2793,2794,2795,2795,2796,2796,2797,2797,2798,2798,2798,2799,2799,2800,2800,2800,2800,2802,2804,2804,2804,2808,2808,2808,2810,2810,2812,2815,2817,2821,2822,2830,2841,2842,2846,2856,2863,2872,2873,2878,2883,2900,2912,2920,2925,2931,2948,2965,2970,2988,2994,3020,3032,3053,3064,3076,3108,3129,3149,3179,3199,3232,3241,3280,3297,3307,3346,3380,3400,3421,3446,3502,3528,3549,3567,3599,3659,3673,3757,3810,3834,3911,3957,3999,4034,4070,4122,4188,4237,4253,4293,4343,4394,4434,4463,4487,4545,4576,4599,4609,4647,4698,4711,4770,4812,4855,4886,4900,4933,4951,4980,4992,5011,5021,5039,5048,5071,5081,5093,5107,5128,5143,5160,5320,5324,5330,5345,5369,5399,5408,5419,5440
Cataluña,3855,3752,3879,3933,4009,4152,4247,4343,4393,4498,4566,4699,4808,4905,4975,5061,5137,5185,5220,5270,5345,5394,5471,5507,5532,5555,5621,5692,5823,5882,5915,5944,5956,5981,6021,6021,6656,6663,6701,5575,5583,5583,5584,5584,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5587,5662,5666,5666,5666,5666,5666,5666,5668,5668,5669,5669,5670,5671,5673,5673,5674,5675,5675,5675,5675,5676,5677,5678,5678,5678,5678,5678,5680,5680,5680,5680,5682,5685,5686,5686,5687,5703,5703,5703,5704,5706,5706,5706,5709,5709,5710,5712,5718,5722,5724,5725,5727,5740,5741,5741,5741,5749,5757,5758,5761,5769,5770,5773,5773,5780,5780,5780,5787,5796,5797,5802,5808,5823,5824,5829,5835,5837,5838,5847,5851,5853,5858,5861,5865,5875,5883,5883,5890,5895,5909,5913,5919,5927,5958,5960,5961,5968,5972,5977,5991,6001,6036,7073,7147,7225,7272,7299,7311,7340,7362,7382,7410,7426,7450,7495,7596,7692,7793,7850,7911,7911,8003,8067,8102,8126,8171,8248,8291,8330,8402,8452,8475,8502,8511,8533,8542,8587,8608,8649,8663,8689,8723,8733,8775,8797,8828,8863,8890,8912,8955,8984,9048,9119,9159,9185,9236
Ceuta,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,16,16,16,18,19,23,26,29,29,32,33,37,39,42,44,46,46,45,45,46,49,51,52,52,54,54,54,55,55,55,55,55,56,56,56,57,57,57,57,57,58,58,59,59,59,59,59,59,59,59,62,62,62,62,62,62,66,66,67,67,67
