,Comunidad,Fecha,Fallecidos
0,Andalucia,2020-04-16,912
1,Aragon,2020-04-16,543
2,Asturias,2020-04-16,168
3,Baleares,2020-04-16,131
4,Canarias,2020-04-16,107
5,Cantabria,2020-04-16,137
6,Castilla La Mancha,2020-04-16,1796
7,Castilla y Leon,2020-04-16,1372
8,Cataluña,2020-04-16,3855
9,Ceuta,2020-04-16,4
10,C.Valenciana,2020-04-16,972
11,Extremadura,2020-04-16,359
12,Galicia,2020-04-16,310
13,Madrid,2020-04-16,6877
14,Melilla,2020-04-16,2
15,Murcia,2020-04-16,111
16,Navarra,2020-04-16,261
17,Pais Vasco,2020-04-16,956
18,La Rioja,2020-04-16,257
19,Andalucia,2020-04-17,940
20,Aragon,2020-04-17,562
21,Asturias,2020-04-17,174
22,Baleares,2020-04-17,134
23,Canarias,2020-04-17,111
24,Cantabria,2020-04-17,144
25,Castilla La Mancha,2020-04-17,1852
26,Castilla y Leon,2020-04-17,1401
27,Cataluña,2020-04-17,3752
28,Ceuta,2020-04-17,4
29,C.Valenciana,2020-04-17,999
30,Extremadura,2020-04-17,372
31,Galicia,2020-04-17,320
32,Madrid,2020-04-17,7007
33,Melilla,2020-04-17,2
34,Murcia,2020-04-17,112
35,Navarra,2020-04-17,338
36,Pais Vasco,2020-04-17,992
37,La Rioja,2020-04-17,262
38,Andalucia,2020-04-18,967
39,Aragon,2020-04-18,601
40,Asturias,2020-04-18,187
41,Baleares,2020-04-18,148
42,Canarias,2020-04-18,115
43,Cantabria,2020-04-18,149
44,Castilla La Mancha,2020-04-18,1913
45,Castilla y Leon,2020-04-18,1429
46,Cataluña,2020-04-18,3879
47,Ceuta,2020-04-18,4
48,C.Valenciana,2020-04-18,1042
49,Extremadura,2020-04-18,380
50,Galicia,2020-04-18,334
51,Madrid,2020-04-18,7132
52,Melilla,2020-04-18,2
53,Murcia,2020-04-18,115
54,Navarra,2020-04-18,354
55,Pais Vasco,2020-04-18,1020
56,La Rioja,2020-04-18,272
57,Andalucia,2020-04-19,993
58,Aragon,2020-04-19,619
59,Asturias,2020-04-19,196
60,Baleares,2020-04-19,155
61,Canarias,2020-04-19,119
62,Cantabria,2020-04-19,153
63,Castilla La Mancha,2020-04-19,1963
64,Castilla y Leon,2020-04-19,1458
65,Cataluña,2020-04-19,3933
66,Ceuta,2020-04-19,4
67,C.Valenciana,2020-04-19,1065
68,Extremadura,2020-04-19,384
69,Galicia,2020-04-19,346
70,Madrid,2020-04-19,7239
71,Melilla,2020-04-19,2
72,Murcia,2020-04-19,116
73,Navarra,2020-04-19,369
74,Pais Vasco,2020-04-19,1062
75,La Rioja,2020-04-19,277
76,Andalucia,2020-04-20,1013
77,Aragon,2020-04-20,637
78,Asturias,2020-04-20,200
79,Baleares,2020-04-20,157
80,Canarias,2020-04-20,119
81,Cantabria,2020-04-20,158
82,Castilla La Mancha,2020-04-20,2021
83,Castilla y Leon,2020-04-20,1493
84,Cataluña,2020-04-20,4009
85,Ceuta,2020-04-20,4
86,C.Valenciana,2020-04-20,1079
87,Extremadura,2020-04-20,389
88,Galicia,2020-04-20,352
89,Madrid,2020-04-20,7351
90,Melilla,2020-04-20,2
91,Murcia,2020-04-20,117
92,Navarra,2020-04-20,385
93,Pais Vasco,2020-04-20,1081
94,La Rioja,2020-04-20,285
95,Andalucia,2020-04-21,1017
96,Aragon,2020-04-21,643
97,Asturias,2020-04-21,202
98,Baleares,2020-04-21,161
99,Canarias,2020-04-21,120
100,Cantabria,2020-04-21,165
101,Castilla La Mancha,2020-04-21,2075
102,Castilla y Leon,2020-04-21,1521
103,Cataluña,2020-04-21,4152
104,Ceuta,2020-04-21,4
105,C.Valenciana,2020-04-21,1089
106,Extremadura,2020-04-21,397
