"zbs";"municipio_distrito";"En_M30";"Capital";"Posicion";"ccaa"
"Carmen Calzado";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"Juan de Austria";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"La Garena";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"Luis Vives";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"Manuel Merino";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"María de Guzmán";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"Miguel de Cervantes";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"Nuestra Señora del Pilar";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"Puerta de Madrid";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"Reyes Magos";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"Virgen del Val";"Alcalá de Henares";"No";"No";"Este";"Madrid, Comunidad de"
"Alcobendas - Chopera";"Alcobendas";"No";"No";"Norte";"Madrid, Comunidad de"
"La Moraleja";"Alcobendas";"No";"No";"Norte";"Madrid, Comunidad de"
"Marqués de la Valdavia";"Alcobendas";"No";"No";"Norte";"Madrid, Comunidad de"
"Miraflores";"Alcobendas";"No";"No";"Norte";"Madrid, Comunidad de"
"Valdelasfuentes";"Alcobendas";"No";"No";"Norte";"Madrid, Comunidad de"
"Doctor Laín Entralgo";"Alcorcón";"No";"No";"Oeste";"Madrid, Comunidad de"
"Doctor Trueta";"Alcorcón";"No";"No";"Oeste";"Madrid, Comunidad de"
"Gregorio Marañón";"Alcorcón";"No";"No";"Oeste";"Madrid, Comunidad de"
"La Ribota";"Alcorcón";"No";"No";"Oeste";"Madrid, Comunidad de"
"Los Castillos";"Alcorcón";"No";"No";"Oeste";"Madrid, Comunidad de"
"Miguel Servet";"Alcorcón";"No";"No";"Oeste";"Madrid, Comunidad de"
"Parque Oeste";"Alcorcón";"No";"No";"Oeste";"Madrid, Comunidad de"
"Ramón y Cajal";"Alcorcón";"No";"No";"Oeste";"Madrid, Comunidad de"
"Algete";"Algete";"No";"No";"Este";"Madrid, Comunidad de"
