fecha_asignacion,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24
2020-02-25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2020-02-26,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2020-02-27,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2020-02-28,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2020-02-29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,32.0,33.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2020-03-01,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,58.0,58.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
2020-03-02,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,102.0,102.0,102.0,103.0,103.0,103.0,104.0,105.0,106.0,106.0,106.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,108.0,108.0,108.0,108.0,108.0,108.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0
2020-03-03,147.0,147.0,147.0,147.0,147.0,147.0,147.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,149.0,150.0,150.0,151.0,151.0,151.0,152.0,153.0,154.0,154.0,154.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0
2020-03-04,207.0,207.0,207.0,207.0,207.0,207.0,207.0,208.0,208.0,209.0,211.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,213.0,215.0,215.0,216.0,216.0,217.0,218.0,219.0,220.0,220.0,220.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,223.0,223.0,223.0,223.0,223.0,223.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,226.0,226.0
2020-03-05,323.0,323.0,323.0,323.0,323.0,323.0,323.0,324.0,325.0,326.0,328.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,330.0,332.0,332.0,333.0,333.0,334.0,335.0,336.0,337.0,337.0,337.0,339.0,339.0,339.0,340.0,341.0,341.0,341.0,341.0,342.0,342.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,345.0,345.0,345.0,345.0,345.0,345.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,350.0,350.0,350.0,350.0,350.0,351.0,352.0,352.0
2020-03-06,528.0,528.0,528.0,528.0,528.0,528.0,528.0,529.0,530.0,531.0,534.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,537.0,539.0,539.0,540.0,540.0,541.0,542.0,543.0,544.0,544.0,544.0,547.0,547.0,548.0,549.0,550.0,550.0,550.0,550.0,551.0,551.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,554.0,554.0,554.0,554.0,554.0,554.0,555.0,555.0,555.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,557.0,557.0,558.0,558.0,558.0,558.0,558.0,561.0,561.0,561.0,561.0,561.0,562.0,563.0,564.0
2020-03-07,758.0,758.0,758.0,758.0,758.0,758.0,758.0,759.0,761.0,763.0,767.0,768.0,768.0,768.0,769.0,769.0,769.0,769.0,771.0,773.0,774.0,775.0,775.0,776.0,778.0,779.0,780.0,780.0,781.0,786.0,787.0,788.0,789.0,790.0,790.0,790.0,791.0,792.0,792.0,793.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,797.0,797.0,797.0,797.0,798.0,798.0,799.0,799.0,799.0,800.0,800.0,800.0,800.0,800.0,800.0,801.0,801.0,801.0,801.0,801.0,802.0,802.0,804.0,804.0,804.0,804.0,804.0,807.0,807.0,807.0,807.0,807.0,808.0,809.0,810.0
2020-03-08,1034.0,1034.0,1034.0,1034.0,1034.0,1034.0,1034.0,1035.0,1037.0,1039.0,1043.0,1044.0,1044.0,1044.0,1045.0,1045.0,1045.0,1045.0,1047.0,1049.0,1051.0,1052.0,1052.0,1053.0,1055.0,1056.0,1058.0,1058.0,1059.0,1066.0,1067.0,1068.0,1069.0,1070.0,1070.0,1071.0,1073.0,1074.0,1074.0,1075.0,1077.0,1077.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1078.0,1079.0,1079.0,1079.0,1079.0,1079.0,1079.0,1079.0,1079.0,1080.0,1080.0,1080.0,1080.0,1081.0,1081.0,1082.0,1082.0,1082.0,1083.0,1083.0,1083.0,1083.0,1083.0,1084.0,1085.0,1085.0,1085.0,1085.0,1086.0,1087.0,1088.0,1090.0,1090.0,1090.0,1090.0,1091.0,1094.0,1095.0,1095.0,1095.0,1095.0,1096.0,1097.0,1098.0
2020-03-09,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1548.0,1554.0,1558.0,1562.0,1566.0,1568.0,1568.0,1568.0,1570.0,1570.0,1571.0,1571.0,1573.0,1576.0,1579.0,1580.0,1581.0,1582.0,1585.0,1586.0,1588.0,1589.0,1590.0,1598.0,1600.0,1601.0,1602.0,1603.0,1603.0,1605.0,1608.0,1609.0,1609.0,1610.0,1612.0,1612.0,1613.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1615.0,1615.0,1615.0,1615.0,1615.0,1615.0,1615.0,1615.0,1616.0,1616.0,1616.0,1616.0,1617.0,1617.0,1618.0,1618.0,1618.0,1619.0,1619.0,1619.0,1620.0,1620.0,1621.0,1622.0,1622.0,1622.0,1622.0,1623.0,1625.0,1626.0,1628.0,1628.0,1628.0,1628.0,1629.0,1632.0,1633.0,1633.0,1633.0,1634.0,1635.0,1637.0,1640.0
2020-03-10,2263.0,2263.0,2263.0,2263.0,2265.0,2266.0,2266.0,2272.0,2277.0,2282.0,2288.0,2290.0,2290.0,2292.0,2300.0,2300.0,2301.0,2302.0,2304.0,2310.0,2313.0,2315.0,2316.0,2317.0,2320.0,2321.0,2324.0,2327.0,2328.0,2337.0,2339.0,2340.0,2343.0,2344.0,2344.0,2348.0,2351.0,2352.0,2353.0,2354.0,2356.0,2357.0,2359.0,2360.0,2360.0,2360.0,2360.0,2362.0,2362.0,2362.0,2362.0,2362.0,2362.0,2362.0,2362.0,2364.0,2364.0,2364.0,2364.0,2365.0,2366.0,2366.0,2366.0,2367.0,2367.0,2367.0,2367.0,2368.0,2368.0,2369.0,2369.0,2369.0,2370.0,2370.0,2370.0,2371.0,2372.0,2374.0,2376.0,2376.0,2376.0,2376.0,2377.0,2379.0,2380.0,2382.0,2382.0,2382.0,2382.0,2384.0,2387.0,2388.0,2388.0,2389.0,2390.0,2391.0,2393.0,2396.0
2020-03-11,3024.0,3024.0,3024.0,3024.0,3028.0,3029.0,3029.0,3036.0,3042.0,3048.0,3056.0,3060.0,3061.0,3064.0,3074.0,3075.0,3076.0,3080.0,3082.0,3094.0,3098.0,3100.0,3103.0,3104.0,3107.0,3108.0,3114.0,3118.0,3119.0,3130.0,3132.0,3135.0,3138.0,3139.0,3139.0,3143.0,3147.0,3148.0,3154.0,3156.0,3158.0,3160.0,3162.0,3162.0,3163.0,3163.0,3163.0,3165.0,3165.0,3166.0,3167.0,3167.0,3168.0,3169.0,3171.0,3179.0,3180.0,3180.0,3180.0,3181.0,3182.0,3182.0,3184.0,3186.0,3186.0,3186.0,3186.0,3187.0,3187.0,3189.0,3189.0,3189.0,3190.0,3190.0,3190.0,3191.0,3192.0,3194.0,3197.0,3197.0,3197.0,3197.0,3199.0,3201.0,3202.0,3205.0,3205.0,3205.0,3205.0,3208.0,3211.0,3212.0,3212.0,3213.0,3214.0,3218.0,3220.0,3223.0
2020-03-12,3835.0,3836.0,3837.0,3837.0,3843.0,3845.0,3845.0,3854.0,3859.0,3865.0,3873.0,3877.0,3880.0,3884.0,3895.0,3896.0,3897.0,3902.0,3903.0,3917.0,3920.0,3924.0,3928.0,3930.0,3933.0,3934.0,3939.0,3943.0,3945.0,3959.0,3960.0,3963.0,3966.0,3967.0,3968.0,3972.0,3975.0,3976.0,3983.0,3986.0,3988.0,3991.0,3992.0,3993.0,3994.0,3993.0,3993.0,3997.0,3998.0,4002.0,4002.0,4002.0,4003.0,4005.0,4006.0,4023.0,4024.0,4024.0,4023.0,4024.0,4025.0,4025.0,4028.0,4031.0,4032.0,4031.0,4031.0,4033.0,4032.0,4034.0,4034.0,4036.0,4037.0,4037.0,4036.0,4038.0,4039.0,4041.0,4044.0,4043.0,4044.0,4043.0,4046.0,4048.0,4049.0,4053.0,4052.0,4052.0,4052.0,4056.0,4059.0,4061.0,4061.0,4061.0,4063.0,4066.0,4071.0,4073.0
2020-03-13,4811.0,4812.0,4814.0,4814.0,4823.0,4824.0,4825.0,4835.0,4840.0,4849.0,4858.0,4864.0,4867.0,4872.0,4886.0,4889.0,4892.0,4897.0,4898.0,4912.0,4915.0,4920.0,4924.0,4927.0,4931.0,4933.0,4938.0,4942.0,4944.0,4959.0,4960.0,4964.0,4968.0,4970.0,4971.0,4975.0,4979.0,4982.0,4989.0,4993.0,4998.0,5002.0,5003.0,5004.0,5005.0,5004.0,5004.0,5008.0,5010.0,5014.0,5016.0,5016.0,5017.0,5019.0,5020.0,5039.0,5040.0,5040.0,5039.0,5040.0,5041.0,5041.0,5044.0,5049.0,5050.0,5049.0,5049.0,5051.0,5050.0,5052.0,5053.0,5055.0,5056.0,5056.0,5057.0,5059.0,5061.0,5063.0,5066.0,5065.0,5067.0,5066.0,5069.0,5071.0,5072.0,5076.0,5075.0,5075.0,5075.0,5079.0,5082.0,5086.0,5087.0,5088.0,5090.0,5094.0,5099.0,5103.0
2020-03-14,5732.0,5736.0,5738.0,5738.0,5748.0,5749.0,5750.0,5761.0,5766.0,5776.0,5785.0,5791.0,5794.0,5801.0,5817.0,5820.0,5824.0,5830.0,5832.0,5846.0,5849.0,5854.0,5858.0,5861.0,5865.0,5869.0,5874.0,5878.0,5881.0,5896.0,5898.0,5902.0,5908.0,5910.0,5911.0,5915.0,5919.0,5922.0,5929.0,5933.0,5938.0,5942.0,5943.0,5945.0,5946.0,5945.0,5945.0,5949.0,5951.0,5955.0,5958.0,5958.0,5959.0,5961.0,5962.0,5982.0,5983.0,5984.0,5983.0,5984.0,5986.0,5986.0,5989.0,5994.0,5995.0,5994.0,5994.0,5997.0,5996.0,5999.0,6000.0,6002.0,6003.0,6003.0,6004.0,6006.0,6009.0,6011.0,6014.0,6013.0,6015.0,6014.0,6017.0,6019.0,6020.0,6025.0,6024.0,6024.0,6024.0,6029.0,6032.0,6037.0,6038.0,6041.0,6044.0,6048.0,6053.0,6057.0
2020-03-15,6558.0,6562.0,6564.0,6564.0,6576.0,6577.0,6578.0,6591.0,6596.0,6607.0,6616.0,6623.0,6626.0,6634.0,6651.0,6654.0,6660.0,6666.0,6669.0,6683.0,6686.0,6692.0,6697.0,6700.0,6704.0,6708.0,6713.0,6717.0,6721.0,6738.0,6740.0,6744.0,6750.0,6752.0,6753.0,6757.0,6762.0,6765.0,6772.0,6776.0,6781.0,6785.0,6787.0,6789.0,6790.0,6789.0,6789.0,6793.0,6796.0,6800.0,6803.0,6803.0,6804.0,6806.0,6807.0,6828.0,6829.0,6830.0,6829.0,6830.0,6832.0,6832.0,6835.0,6840.0,6841.0,6840.0,6840.0,6843.0,6842.0,6845.0,6846.0,6848.0,6849.0,6849.0,6850.0,6852.0,6855.0,6857.0,6860.0,6859.0,6861.0,6860.0,6863.0,6865.0,6866.0,6871.0,6870.0,6870.0,6870.0,6875.0,6878.0,6883.0,6884.0,6887.0,6890.0,6894.0,6899.0,6904.0
2020-03-16,7849.0,7853.0,7855.0,7855.0,7869.0,7870.0,7872.0,7887.0,7892.0,7904.0,7913.0,7920.0,7923.0,7932.0,7949.0,7952.0,7958.0,7964.0,7967.0,7982.0,7985.0,7991.0,7996.0,7999.0,8003.0,8007.0,8013.0,8017.0,8021.0,8040.0,8042.0,8046.0,8053.0,8055.0,8056.0,8060.0,8065.0,8069.0,8077.0,8081.0,8086.0,8090.0,8092.0,8094.0,8095.0,8094.0,8094.0,8098.0,8101.0,8105.0,8108.0,8108.0,8109.0,8111.0,8112.0,8138.0,8140.0,8141.0,8140.0,8141.0,8143.0,8143.0,8146.0,8152.0,8154.0,8153.0,8153.0,8156.0,8155.0,8158.0,8159.0,8161.0,8162.0,8162.0,8163.0,8165.0,8168.0,8170.0,8173.0,8172.0,8174.0,8173.0,8176.0,8178.0,8179.0,8184.0,8183.0,8183.0,8183.0,8188.0,8192.0,8197.0,8198.0,8201.0,8204.0,8209.0,8214.0,8219.0
