fecha_publicacion,fecha_asignacion,positivos
2020-09-01,2020-02-25,2.0
2020-09-01,2020-02-26,7.0
2020-09-01,2020-02-27,11.0
2020-09-01,2020-02-28,22.0
2020-09-01,2020-02-29,29.0
2020-09-01,2020-03-01,55.0
2020-09-01,2020-03-02,101.0
2020-09-01,2020-03-03,147.0
2020-09-01,2020-03-04,207.0
2020-09-01,2020-03-05,323.0
2020-09-01,2020-03-06,528.0
2020-09-01,2020-03-07,758.0
2020-09-01,2020-03-08,1034.0
2020-09-01,2020-03-09,1548.0
2020-09-01,2020-03-10,2263.0
2020-09-01,2020-03-11,3024.0
2020-09-01,2020-03-12,3835.0
2020-09-01,2020-03-13,4811.0
2020-09-01,2020-03-14,5732.0
2020-09-01,2020-03-15,6558.0
2020-09-01,2020-03-16,7849.0
2020-09-01,2020-03-17,9836.0
2020-09-01,2020-03-18,11632.0
2020-09-01,2020-03-19,13716.0
2020-09-01,2020-03-20,16107.0
2020-09-01,2020-03-21,17815.0
2020-09-01,2020-03-22,19344.0
2020-09-01,2020-03-23,22116.0
2020-09-01,2020-03-24,25084.0
2020-09-01,2020-03-25,28131.0
2020-09-01,2020-03-26,31591.0
2020-09-01,2020-03-27,34046.0
2020-09-01,2020-03-28,35100.0
2020-09-01,2020-03-29,35994.0
2020-09-01,2020-03-30,38608.0
2020-09-01,2020-03-31,40492.0
2020-09-01,2020-04-01,42353.0
2020-09-01,2020-04-02,44238.0
2020-09-01,2020-04-03,46058.0
2020-09-01,2020-04-04,46979.0
2020-09-01,2020-04-05,47522.0
2020-09-01,2020-04-06,49186.0
2020-09-01,2020-04-07,50682.0
2020-09-01,2020-04-08,52190.0
2020-09-01,2020-04-09,53190.0
2020-09-01,2020-04-10,54109.0
2020-09-01,2020-04-11,54687.0
2020-09-01,2020-04-12,55053.0
2020-09-01,2020-04-13,56166.0
2020-09-01,2020-04-14,57390.0
2020-09-01,2020-04-15,58388.0
2020-09-01,2020-04-16,59314.0
2020-09-01,2020-04-17,60241.0
2020-09-01,2020-04-18,60776.0
2020-09-01,2020-04-19,61003.0
2020-09-01,2020-04-20,61751.0
2020-09-01,2020-04-21,62498.0
2020-09-01,2020-04-22,63323.0
2020-09-01,2020-04-23,63883.0
2020-09-01,2020-04-24,64562.0
2020-09-01,2020-04-25,64844.0
2020-09-01,2020-04-26,64990.0
2020-09-01,2020-04-27,65725.0
2020-09-01,2020-04-28,66399.0
2020-09-01,2020-04-29,66962.0
2020-09-01,2020-04-30,67427.0
2020-09-01,2020-05-01,67640.0
2020-09-01,2020-05-02,67787.0
2020-09-01,2020-05-03,67930.0
2020-09-01,2020-05-04,68480.0
2020-09-01,2020-05-05,68993.0
2020-09-01,2020-05-06,69466.0
2020-09-01,2020-05-07,69869.0
2020-09-01,2020-05-08,70252.0
2020-09-01,2020-05-09,70362.0
2020-09-01,2020-05-10,70443.0
2020-09-01,2020-05-11,70829.0
2020-09-01,2020-05-12,71209.0
2020-09-01,2020-05-13,71571.0
2020-09-01,2020-05-14,71946.0
2020-09-01,2020-05-15,72187.0
2020-09-01,2020-05-16,72233.0
2020-09-01,2020-05-17,72302.0
2020-09-01,2020-05-18,72599.0
2020-09-01,2020-05-19,72910.0
2020-09-01,2020-05-20,73219.0
2020-09-01,2020-05-21,73437.0
2020-09-01,2020-05-22,73684.0
2020-09-01,2020-05-23,73755.0
2020-09-01,2020-05-24,73787.0
2020-09-01,2020-05-25,73973.0
2020-09-01,2020-05-26,74244.0
2020-09-01,2020-05-27,74490.0
2020-09-01,2020-05-28,74740.0
2020-09-01,2020-05-29,74993.0
2020-09-01,2020-05-30,75084.0
2020-09-01,2020-05-31,75180.0
2020-09-01,2020-06-01,75373.0
2020-09-01,2020-06-02,75633.0
2020-09-01,2020-06-03,75932.0
2020-09-01,2020-06-04,76176.0
2020-09-01,2020-06-05,76404.0
2020-09-01,2020-06-06,76527.0
2020-09-01,2020-06-07,76568.0
2020-09-01,2020-06-08,76717.0
2020-09-01,2020-06-09,76888.0
2020-09-01,2020-06-10,77063.0
2020-09-01,2020-06-11,77258.0
2020-09-01,2020-06-12,77477.0
2020-09-01,2020-06-13,77530.0
2020-09-01,2020-06-14,77556.0
2020-09-01,2020-06-15,77743.0
2020-09-01,2020-06-16,77905.0
2020-09-01,2020-06-17,78084.0
2020-09-01,2020-06-18,78278.0
2020-09-01,2020-06-19,78521.0
2020-09-01,2020-06-20,78585.0
2020-09-01,2020-06-21,78622.0
2020-09-01,2020-06-22,78692.0
