,ccaa,fallecidos,fecha
0,Andalucía,912,16/4/2020
1,Aragón,543,16/4/2020
2,Asturias,168,16/4/2020
3,Baleares,131,16/4/2020
4,Canarias,107,16/4/2020
5,Cantabria,137,16/4/2020
6,Castilla La Mancha,1796,16/4/2020
7,Castilla y León,1372,16/4/2020
8,Cataluña,3855,16/4/2020
9,Ceuta,4,16/4/2020
10,C. Valenciana,972,16/4/2020
11,Extremadura,359,16/4/2020
12,Galicia,310,16/4/2020
13,Madrid,6877,16/4/2020
14,Melilla,2,16/4/2020
15,Murcia,111,16/4/2020
16,Navarra,261,16/4/2020
17,País Vasco,956,16/4/2020
18,La Rioja,257,16/4/2020
19,Andalucía,940,17/4/2020
20,Aragón,562,17/4/2020
21,Asturias,174,17/4/2020
22,Baleares,134,17/4/2020
23,Canarias,111,17/4/2020
24,Cantabria,144,17/4/2020
25,Castilla La Mancha,1852,17/4/2020
26,Castilla y León,1401,17/4/2020
27,Cataluña,3752,17/4/2020
28,Ceuta,4,17/4/2020
29,C. Valenciana,999,17/4/2020
30,Extremadura,372,17/4/2020
31,Galicia,320,17/4/2020
32,Madrid,7007,17/4/2020
33,Melilla,2,17/4/2020
34,Murcia,112,17/4/2020
35,Navarra,338,17/4/2020
36,País Vasco,992,17/4/2020
37,La Rioja,262,17/4/2020
38,Andalucía,967,18/4/2020
39,Aragón,601,18/4/2020
40,Asturias,187,18/4/2020
41,Baleares,148,18/4/2020
42,Canarias,115,18/4/2020
43,Cantabria,149,18/4/2020
44,Castilla La Mancha,1913,18/4/2020
45,Castilla y León,1429,18/4/2020
46,Cataluña,3879,18/4/2020
47,Ceuta,4,18/4/2020
48,C. Valenciana,1042,18/4/2020
49,Extremadura,380,18/4/2020
50,Galicia,334,18/4/2020
51,Madrid,7132,18/4/2020
52,Melilla,2,18/4/2020
53,Murcia,115,18/4/2020
54,Navarra,354,18/4/2020
55,País Vasco,1020,18/4/2020
56,La Rioja,272,18/4/2020
57,Andalucía,993,19/4/2020
58,Aragón,619,19/4/2020
59,Asturias,196,19/4/2020
60,Baleares,155,19/4/2020
61,Canarias,119,19/4/2020
62,Cantabria,153,19/4/2020
63,Castilla La Mancha,1963,19/4/2020
64,Castilla y León,1458,19/4/2020
65,Cataluña,3933,19/4/2020
66,Ceuta,4,19/4/2020
67,C. Valenciana,1065,19/4/2020
68,Extremadura,384,19/4/2020
69,Galicia,346,19/4/2020
70,Madrid,7239,19/4/2020
71,Melilla,2,19/4/2020
72,Murcia,116,19/4/2020
73,Navarra,369,19/4/2020
74,País Vasco,1062,19/4/2020
75,La Rioja,277,19/4/2020
76,Andalucía,1013,20/4/2020
77,Aragón,637,20/4/2020
78,Asturias,200,20/4/2020
79,Baleares,157,20/4/2020
80,Canarias,119,20/4/2020
81,Cantabria,158,20/4/2020
82,Castilla La Mancha,2021,20/4/2020
83,Castilla y León,1493,20/4/2020
84,Cataluña,4009,20/4/2020
85,Ceuta,4,20/4/2020
86,C. Valenciana,1079,20/4/2020
87,Extremadura,389,20/4/2020
88,Galicia,352,20/4/2020
89,Madrid,7351,20/4/2020
90,Melilla,2,20/4/2020
91,Murcia,117,20/4/2020
92,Navarra,385,20/4/2020
93,País Vasco,1081,20/4/2020
94,La Rioja,285,20/4/2020
95,Andalucía,1017,21/4/2020
96,Aragón,643,21/4/2020
97,Asturias,202,21/4/2020
98,Baleares,161,21/4/2020
99,Canarias,120,21/4/2020
100,Cantabria,165,21/4/2020
101,Castilla La Mancha,2075,21/4/2020
102,Castilla y León,1521,21/4/2020
103,Cataluña,4152,21/4/2020
104,Ceuta,4,21/4/2020
105,C. Valenciana,1089,21/4/2020
106,Extremadura,397,21/4/2020
107,Galicia,360,21/4/2020
108,Madrid,7460,21/4/2020
109,Melilla,2,21/4/2020
110,Murcia,120,21/4/2020
111,Navarra,397,21/4/2020
112,País Vasco,1103,21/4/2020
113,La Rioja,294,21/4/2020
114,Andalucía,1050,22/4/2020
115,Aragón,656,22/4/2020
116,Asturias,211,22/4/2020
117,Baleares,164,22/4/2020
118,Canarias,121,22/4/2020
119,Cantabria,167,22/4/2020
120,Castilla La Mancha,2140,22/4/2020
121,Castilla y León,1554,22/4/2020
122,Cataluña,4247,22/4/2020
123,Ceuta,4,22/4/2020
124,C. Valenciana,1106,22/4/2020
125,Extremadura,404,22/4/2020
126,Galicia,368,22/4/2020
127,Madrid,7577,22/4/2020
128,Melilla,2,22/4/2020
129,Murcia,123,22/4/2020
130,Navarra,401,22/4/2020
131,País Vasco,1124,22/4/2020
132,La Rioja,298,22/4/2020
133,Andalucía,1079,23/4/2020
134,Aragón,681,23/4/2020
135,Asturias,223,23/4/2020
136,Baleares,168,23/4/2020
137,Canarias,121,23/4/2020
138,Cantabria,173,23/4/2020
139,Castilla La Mancha,2188,23/4/2020
140,Castilla y León,1582,23/4/2020
141,Cataluña,4343,23/4/2020
142,Ceuta,4,23/4/2020
143,C. Valenciana,1124,23/4/2020
144,Extremadura,407,23/4/2020
145,Galicia,375,23/4/2020
146,Madrid,7684,23/4/2020
147,Melilla,2,23/4/2020
148,Murcia,124,23/4/2020
149,Navarra,409,23/4/2020
150,País Vasco,1167,23/4/2020
151,La Rioja,303,23/4/2020
152,Andalucía,1107,24/4/2020
153,Aragón,695,24/4/2020
154,Asturias,231,24/4/2020
155,Baleares,172,24/4/2020
156,Canarias,128,24/4/2020
157,Cantabria,178,24/4/2020
158,Castilla La Mancha,2255,24/4/2020
159,Castilla y León,1612,24/4/2020
160,Cataluña,4393,24/4/2020
161,Ceuta,4,24/4/2020
162,C. Valenciana,1147,24/4/2020
163,Extremadura,411,24/4/2020
164,Galicia,382,24/4/2020
165,Madrid,7765,24/4/2020
