fecha,ccaa,Hosp_Totales,Hosp_7días,UCI_Totales,UCI_7dias,Hosp_actual,%CamasCovid,UCI_actual,%CamasUCI,Ingresos_24horas,Altas_24horas
2020-04-27,Galicia,2.746 ,11 ,83¥ , ,,,,,,
2020-04-27,La Rioja,1.392 ,12 ,85 ,1 ,,,,,,
2020-04-27,País Vasco,6.457 ,31 ,538 ,5 ,,,,,,
2020-04-27,Navarra,1.942 ,0 ,130 ,1 ,,,,,,
2020-04-27,Murcia,627 ,0 ,106 ,0 ,,,,,,
2020-04-27,Melilla,44 ,0 ,3 ,0 ,,,,,,
2020-04-27,Madrid,39.472 , ,3.309 , ,,,,,,
2020-04-27,Extremadura,1.490 ,10 ,108 ,0 ,,,,,,
2020-04-27,C. Valenciana,5.032 ,19 ,656 ,2 ,,,,,,
2020-04-27,Ceuta,10 ,0 ,4 ,0 ,,,,,,
2020-04-27,Castilla y León,7.703 ,50 ,518 ,3 ,,,,,,
2020-04-27,Castilla La Mancha,8.444 ,27 ,579 ,14 ,,,,,,
2020-04-27,Cantabria,995 ,4 ,78 ,0 ,,,,,,
2020-04-27,Canarias,881 ,1 ,171 ,0 ,,,,,,
2020-04-27,Baleares,1.062 ,0 ,166 ,0 ,,,,,,
2020-04-27,Asturias,1.814 ,24 ,137 ,3 ,,,,,,
2020-04-27,Aragón,2.403 ,8 ,257 ,0 ,,,,,,
2020-04-27,Andalucía,5.768 ,20 ,720 ,4 ,,,,,,
2020-04-27,Cataluña,25.799 ,134 ,2.724 ,141 ,,,,,,
2020-04-28,Melilla,44 ,0 ,3 ,0 ,,,,,,
2020-04-28,Madrid,39.634 ,162 ,3.338 ,29 ,,,,,,
2020-04-28,Murcia,629 ,2 ,106 ,0 ,,,,,,
2020-04-28,Galicia,2.758 ,12 ,73¥ , ,,,,,,
2020-04-28,País Vasco,6.482 ,25 ,539 ,1 ,,,,,,
2020-04-28,La Rioja,1.400 ,8 ,87 ,2 ,,,,,,
2020-04-28,Extremadura,1.505 ,15 ,108 ,0 ,,,,,,
2020-04-28,Navarra,1.945 ,3 ,130 ,0 ,,,,,,
2020-04-28,C. Valenciana,5.046 ,14 ,659 ,3 ,,,,,,
2020-04-28,Ceuta,10 ,0 ,4 ,0 ,,,,,,
2020-04-28,Aragón,2.425 ,22 ,258 ,1 ,,,,,,
2020-04-28,Castilla y León,7.777 ,74 ,522 ,4 ,,,,,,
2020-04-28,Castilla La Mancha,8.464 ,20 ,584 ,5 ,,,,,,
2020-04-28,Cataluña,26.230 ,431 ,2.750 ,26 ,,,,,,
2020-04-28,Cantabria,1.000 ,5 ,78 ,0 ,,,,,,
2020-04-28,Canarias,900 ,19 ,174 ,3 ,,,,,,
2020-04-28,Baleares,1.074 ,12 ,166 ,0 ,,,,,,
2020-04-28,Asturias,1.843 ,29 ,137 ,0 ,,,,,,
2020-04-28,Andalucía,5.793 ,25 ,721 ,1 ,,,,,,
2020-04-29,C. Valenciana,5.072 ,26 ,662 ,3 ,,,,,,
2020-04-29,Extremadura,1.526 ,21 ,108 ,0 ,,,,,,
2020-04-29,Galicia,2.736 , ,308 , ,,,,,,
2020-04-29,Cantabria,1.006 ,6 ,79 ,1 ,,,,,,
2020-04-29,Melilla,44 ,0 ,3 ,0 ,,,,,,
2020-04-29,Ceuta,10 ,0 ,4 ,0 ,,,,,,
2020-04-29,Murcia,635 ,6 ,106 ,0 ,,,,,,
