PROVINCIA;FECHA_PRUEBA;N_ANT_POSITIVOS;N_ANT;N_PCR_POSITIVOS;N_PCR
Girona;22JUN2021;21;436;22;459
Ávila;22JUN2021;5;81;10;191
Coruña, A;22JUN2021;12;658;57;1822
Ourense;22JUN2021;2;226;6;362
Zamora;22JUN2021;0;60;2;229
Lugo;22JUN2021;1;136;8;437
Tarragona;22JUN2021;30;454;10;402
Cuenca;22JUN2021;5;29;11;188
Madrid;22JUN2021;267;7061;239;7530
Castellón/Castelló;22JUN2021;10;150;8;282
Badajoz;22JUN2021;20;766;16;798
Pontevedra;22JUN2021;15;497;27;1212
Melilla;22JUN2021;2;106;1;56
Burgos;22JUN2021;5;176;16;633
Palmas, Las;22JUN2021;3;493;17;843
Navarra;22JUN2021;27;750;58;1247
Barcelona;22JUN2021;333;4199;236;4976
Palencia;22JUN2021;1;65;11;212
Teruel;22JUN2021;4;58;11;129
Gipuzkoa;22JUN2021;38;559;33;1002
Zaragoza;22JUN2021;25;440;15;785
Sevilla;22JUN2021;96;1494;79;1049
Valladolid;22JUN2021;11;289;27;699
Santa Cruz de Tenerife;22JUN2021;34;411;42;1119
Ceuta;22JUN2021;4;34;4;53
Huesca;22JUN2021;2;65;12;229
Rioja, La;22JUN2021;15;321;9;340
Cádiz;22JUN2021;38;548;100;1161
Salamanca;22JUN2021;1;74;0;404
León;22JUN2021;8;126;36;441
Murcia;22JUN2021;26;718;43;1688
Valencia/València;22JUN2021;63;465;167;2367
Ciudad Real;22JUN2021;8;146;11;511
Cáceres;22JUN2021;7;303;21;460
Baleares;22JUN2021;22;1017;71;1710
Soria;22JUN2021;0;24;0;55
Alicante/Alacant;22JUN2021;22;584;48;1236
Bizkaia;22JUN2021;31;788;40;1500
Lleida;22JUN2021;8;219;4;344
Araba/Álava;22JUN2021;19;247;9;574
Toledo;22JUN2021;16;211;25;570
Jaén;22JUN2021;25;304;53;861
Albacete;22JUN2021;1;127;15;292
Almería;22JUN2021;9;210;45;808
Guadalajara;22JUN2021;7;95;7;157
Huelva;22JUN2021;15;204;54;797
Córdoba;22JUN2021;51;848;93;909
Segovia;22JUN2021;0;80;3;178
Granada;22JUN2021;41;542;128;1480
Asturias;22JUN2021;10;225;75;2142
Málaga;22JUN2021;83;708;144;1517
Granada;21JUN2021;31;421;112;1530
Valladolid;21JUN2021;14;438;24;898
Madrid;21JUN2021;320;9036;199;8410
Zaragoza;21JUN2021;33;459;74;1159
Alicante/Alacant;21JUN2021;43;945;53;1550
Burgos;21JUN2021;9;235;1;295
Cáceres;21JUN2021;6;262;27;522
Huesca;21JUN2021;5;61;8;189
Baleares;21JUN2021;21;992;60;1815
Gipuzkoa;21JUN2021;12;563;14;1109
Asturias;21JUN2021;5;243;57;2152
Zamora;21JUN2021;0;50;8;307
Valencia/València;21JUN2021;93;851;109;3015
Jaén;21JUN2021;33;420;55;893
