"num_region";"INE_name";"ISO_name";"latitude";"longitude"
"01";"Andalucía";"Andalucía";"37.39390026476173";"-5.983899187239648"
"02";"Aragón";"Aragón";"41.30000000";"-1.90000000"
"03";"Asturias, Principado de";"Principado de Asturias";"43.55780000";"-5.91977000"
"04";"Balears, Illes";"Illes Balears";"39.58459124972847";"2.645204936542803"
"05";"Canarias";"Canarias";"27.75817000";"-15.57290000"
"06";"Cantabria";"Cantabria";"43.40000000";"-3.81667000"
"07";"Castilla y León";"Castilla y León";"41.65136984990517";"-4.7284813990880865"
"08";"Castilla - La Mancha";"Castilla-La Mancha";"39.85983221966892";"-4.024321290502531"
"09";"Cataluña";"Cataluña/Catalunya";"41.48542000";"2.07708000"
"10";"Comunitat Valenciana";"Comunitat Valenciana";"38.99245000";"-0.17960000"
"11";"Extremadura";"Extremadura";"38.91667000";"-6.33333000"
"12";"Galicia";"Galicia";"42.23333000";"-8.71667000"
"13";"Madrid, Comunidad de";"Comunidad de Madrid";"40.42587000";"-3.68544000"
"14";"Murcia, Región de";"Región de Murcia";"37.98218000";"-1.12483000"
"15";"Navarra, Comunidad Foral de";"Comunidad Foral de Navarra";"42.80000000";"-1.63333000"
"16";"País Vasco";"País Vasco/Euskadi";"42.854281241985795";"-2.6717122227805077"
"17";"Rioja, La";"La Rioja";"42.30000000";"-1.96667000"
"18";"Ceuta";"Ciudad Autónoma de Ceuta";"35.8882475";"-5.3162201"
"19";"Melilla";"Ciudad Autónoma de Melilla";"35.29363721419209";"-2.9383468078320334"
