date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas,Dosis administradas,% sobre entregadas,Fecha de la ultima vacuna registrada,source_name,source
14/1/21,Andalucía,209520,6800,216320,123459,0.570723927514793,13/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Aragón,35415,1200,36615,20854,0.5695479994537758,13/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Asturias,35420,1200,36620,29074,0.7939377389404697,14/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Baleares,12840,600,13440,7552,0.5619047619047619,13/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Canarias,41310,1300,42610,25159,0.5904482515841352,13/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Cantabria,17700,500,18200,12779,0.7021428571428572,14/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Castilla y Leon,76740,2500,79240,57969,0.7315623422513882,14/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Castilla La Mancha,53100,1700,54800,30613,0.5586313868613139,14/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Cataluña,180020,5800,185820,105587,0.5682219352061134,13/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,C. Valenciana,91450,2900,94350,80429,0.852453630100689,14/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Extremadura,32450,1000,33450,17862,0.5339910313901345,13/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Galicia,56080,1800,57880,44014,0.7604353835521769,14/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,La Rioja,8840,200,9040,5385,0.5956858407079646,13/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Madrid,147540,4700,152240,63385,0.41634918549658434,14/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Murcia,38360,1200,39560,21739,0.5495197168857432,14/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Navarra,17700,500,18200,8314,0.45681318681318683,13/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,País Vasco,47205,1400,48605,20003,0.4115420224256764,13/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Ceuta,1005,200,1205,911,0.7560165975103734,13/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Melilla,1005,200,1205,1098,0.9112033195020747,14/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
14/1/21,Totales,1103700,35700,1139400,676186,0.5934579603299982,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210114.ods
