date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas,Dosis administradas,% sobre entregadas,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
18/1/21,Andalucía,209520,6800,216320,151404,0.6999075443786982,533,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Aragón,35415,1200,36615,25133,0.6864126724020211,0,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Asturias,35420,1200,36620,33572,0.9167667941015838,202,18/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Baleares,16740,600,17340,13750,0.792964244521338,155,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Canarias,41310,1300,42610,42113,0.9883360713447548,327,18/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Cantabria,17700,500,18200,17724,0.9738461538461538,0,16/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Castilla y Leon,76740,2500,79240,67079,0.8465295305401312,124,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Castilla La Mancha,53100,1700,54800,38321,0.6992883211678832,0,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Cataluña,180020,5800,185820,145073,0.7807178990420838,167,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,C. Valenciana,91450,2900,94350,93695,0.993057763645999,152,18/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Extremadura,32450,1000,33450,27613,0.8255007473841555,0,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Galicia,56080,1800,57880,56481,0.9758293020041465,150,18/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,La Rioja,8840,200,9040,7761,0.8585176991150443,0,15/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Madrid,147540,4700,152240,104490,0.6863504992117709,476,18/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Murcia,38360,1200,39560,34103,0.8620576339737108,0,18/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Navarra,17700,500,18200,11834,0.6502197802197802,0,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,País Vasco,47205,1400,48605,25526,0.5251723073757844,0,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Ceuta,1005,200,1205,981,0.8141078838174274,29,17/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Melilla,1005,200,1205,1289,1.0697095435684647,0,15/1/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
18/1/21,Totales,1107600,35700,1143300,897942,0.7853949094725794,2315,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210118.ods
