date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas,Dosis administradas,% sobre entregadas,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
1/4/21,Andalucía,1098720,168000,381600,1648320,1483868,0.9002305377596583,514632,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Aragón,209745,35300,59900,304945,258902,0.8490121169391202,93627,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Asturias,203315,32700,46000,282015,234491,0.8314841409144904,89604,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Baleares,112680,18000,52700,183380,160884,0.8773257716217691,45509,30/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Canarias,232800,35800,98100,366700,315167,0.8594682301608945,108593,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Cantabria,97845,15300,26200,139345,114080,0.8186874304783093,44056,30/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Castilla y Leon,463035,78300,108100,649435,554254,0.8534402981052761,207364,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Castilla La Mancha,300555,49600,92200,442355,356085,0.80497564173571,122854,30/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Cataluña,1027880,168400,350800,1547080,1353057,0.8745876102076169,431509,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,C. Valenciana,586360,96800,228100,911260,821536,0.9015385290696398,257143,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Extremadura,178505,28100,47900,254505,231560,0.9098446003025481,76693,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Galicia,427165,73600,121900,622665,498870,0.8011852280118523,162397,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,La Rioja,50375,7800,14400,72575,65886,0.9078332759214606,21980,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Madrid,838815,136100,305800,1280715,1092992,0.8534232830879626,376909,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Murcia,197285,29400,68100,294785,246425,0.8359482334582832,87958,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Navarra,95505,15400,29800,140705,121389,0.8627198749156035,39638,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,País Vasco,314550,52900,100200,467650,370971,0.7932663316582914,105534,30/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Ceuta,7830,1300,3900,13030,11226,0.8615502686108979,3601,30/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Melilla,7830,1200,3900,12930,10413,0.8053364269141531,2423,30/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Fuerzas Armadas,19500,0,36100,55600,40099,0.721205035971223,4991,31/3/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Totales,6470295,1044000,2175700,9689995,8342155,0.8609039529948158,2797015,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
