date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
14/4/21,Andalucía,1468440,219200,564800,2252440,1970183,0.874688337980146,1419209,550974,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Aragón,291645,45800,88700,426145,331419,0.7777141583263912,228547,102872,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Asturias,280535,42200,68000,390735,317019,0.8113401666090829,216006,101013,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Baleares,158310,24300,81400,264010,233042,0.8827014128252718,175460,57582,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Canarias,319380,47800,145200,512380,418843,0.8174460361450486,302770,116073,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Cantabria,132945,19900,40500,193345,147960,0.7652641650934857,101801,46159,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Castilla y Leon,647895,100800,166900,915595,730342,0.7976692751707906,492310,238032,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Castilla La Mancha,412875,63800,142400,619075,499581,0.8069797682025602,344341,155240,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Cataluña,1413980,221100,519100,2154180,1843205,0.8556411256255281,1381065,462140,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,C. Valenciana,836740,131600,352300,1320640,1125277,0.8520694511751878,835363,289914,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Extremadura,244025,36200,70900,351125,313754,0.8935678177287291,223577,90177,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Galicia,637765,98800,180300,916865,776617,0.8470352778217076,580171,196446,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,La Rioja,69095,10200,21300,100595,86929,0.8641483175108107,61693,25236,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Madrid,1154715,179300,452500,1786515,1516192,0.8486869687632066,1078313,437879,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Murcia,260465,37700,100800,398965,293702,0.7361598135174765,193716,99986,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Navarra,130605,20100,44100,194805,167043,0.8574882574882575,116810,50233,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,País Vasco,454950,70900,148200,674050,564370,0.8372821007343669,412035,152335,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Ceuta,10170,1600,5800,17570,16764,0.9541263517359135,13058,3706,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Melilla,10170,1200,5800,17170,14706,0.8564938846825859,10849,3857,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Fuerzas Armadas,19500,0,66100,85600,69125,0.8075350467289719,63793,5332,13/4/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Totales,8954205,1372500,3265100,13591805,11436073,0.8413947227759668,8250887,3185186,,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
