date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Fecha de la ultima vacuna registrada,source_name,source
20/7/21,Andalucía,6419880,1011000,1805800,476000,9712680,9253259,0.9526988431617226,5203465,4289840,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Aragón,1118835,153300,285700,56900,1614735,1484438,0.9193075024694455,860176,704087,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Asturias,940415,126400,235900,43750,1346465,1309731,0.972718191709402,709886,643816,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Baleares,848610,155000,256400,55550,1315560,1189682,0.9043160327161057,696109,559361,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Canarias,1600530,264700,503700,120900,2489830,2218688,0.8911001955956832,1312443,1015433,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Cantabria,493305,67300,130200,24950,715755,655346,0.9156010087250526,370493,305406,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Castilla y Leon,2202825,305000,514400,102850,3125075,2841996,0.9094168939945442,1587803,1391529,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Castilla La Mancha,1643715,240500,460900,89425,2434540,2244729,0.9220341419734324,1302946,1014099,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Cataluña,6056540,895800,1698100,394000,9044440,8354853,0.9237556996342504,4758897,4016709,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,C. Valenciana,3867040,573000,1009800,307250,5757090,5203057,0.9037650966026239,2971943,2408398,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Extremadura,899225,121900,228000,45550,1294675,1256262,0.9703300055998609,719931,595941,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,Galicia,2395105,323400,595400,116000,3429905,3284603,0.9576367275478476,1816627,1610411,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
20/7/21,La Rioja,265655,36300,61400,14150,377505,339780,0.9000675487741884,194582,166153,19/7/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210720.ods
