date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
15/12/21,Andalucía,10486800,2119500,1537200,333500,14477000,14541406,1.0044488498998412,6924132,6813257,1558374,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Aragón,1675761,368490,255200,63565,2363016,2295408,0.9713891061253923,1079423,1057989,284445,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Asturias,1447025,291040,220900,43000,2001965,1993460,0.9957516739803144,876830,868165,322547,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Baleares,1318884,335070,225400,56420,1935774,1808459,0.934230442190049,877393,856803,173282,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Canarias,2503770,624700,455800,133650,3717920,3534585,0.9506888260102423,1702272,1656088,350355,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Cantabria,844305,122900,125200,22200,1114605,1053719,0.9453743702926148,487584,480931,129272,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Castilla y Leon,3867399,611570,466170,97620,5042759,4570622,0.9063732770096687,2024554,1986635,787464,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Castilla La Mancha,2490795,581270,382100,93735,3547900,3494219,0.9848696411962006,1640098,1577408,447246,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Cataluña,8469080,2354900,1514300,375750,12714030,12595436,0.9906721944182922,6116356,5950267,1272793,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,C. Valenciana,6256180,1543650,863900,213125,8876855,8628404,0.9720113711443974,4115772,4048422,927527,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Extremadura,1464233,231770,185400,49265,1930668,1966835,1.0187328945214817,903267,889017,265093,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Galicia,3874579,645000,573400,122700,5215679,5433286,1.0417217010479365,2324711,2301193,1012773,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,La Rioja,421265,91600,53240,15200,581305,564381,0.970886195714814,263071,257912,78324,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Madrid,8228535,1820800,1222100,321450,11592885,11160759,0.9627248954854637,5430741,5298888,1139837,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Murcia,1687865,498000,253010,68300,2507175,2524468,1.0068974044492307,1208764,1177367,267977,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Navarra,804525,166500,136600,23750,1131375,1146050,1.0129709424372997,534319,525267,154960,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,País Vasco,2842920,642900,444200,101300,4031320,3920811,0.9725873907305795,1833053,1795909,530370,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Ceuta,97920,22270,18100,3935,142225,127478,0.896312181402707,63499,60864,11194,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Melilla,96750,23500,15100,5750,141100,120069,0.8509496810772502,60737,57974,11898,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
15/12/21,Fuerzas Armadas,48138,58300,103800,2000,212238,207549,0.9779068781273853,95248,89105,29949,14/12/21,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211215.ods
