date_pub,ccaa,Dosis entregadas Pfizer,Dosis entregadas Pfizer pediatrica,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas,Dosis administradas,% sobre entregadas,Total 1 vacuna,Total pauta completada,Total dosis adicional,Fecha de la ultima vacuna registrada,source_name,source
7/1/22,Andalucía,10695060,402000,2619500,1537200,333500,15587260,15125264.5,0.9703606984165274,7187020,6860179,2132839,6/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
7/1/22,Aragón,1713201,54000,368490,255200,63565,2454456,2386391.5,0.9722690078779167,1118929,1067331,437138,6/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
7/1/22,Asturias,1458725,36000,441040,220900,43000,2199665,2097181.0,0.9534092691387097,902324,870266,514804,6/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
7/1/22,Baleares,1318884,54000,467070,225400,56420,2121774,1859219.5,0.8762570848733182,901873,869080,267214,5/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
7/1/22,Canarias,2555250,84000,674700,455800,133650,3903400,3726780.5,0.9547523953476457,1766736,1665848,598988,6/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
7/1/22,Cantabria,859515,24000,155400,125200,22200,1186315,1127809.5,0.9506829973489335,508304,485072,217561,5/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
7/1/22,Castilla y Leon,3948123,84000,611570,466170,95310,5205173,4781367.0,0.9185798435517897,2086518,1995804,998208,6/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
7/1/22,Castilla La Mancha,2583225,90000,821270,382100,93735,3970330,3577477.5,0.9010529351464488,1696975,1589184,667031,6/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
7/1/22,Cataluña,8620010,354000,2954900,1514300,375750,13818960,12983341.5,0.9395310139113219,6340530,6016579,2293705,6/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
7/1/22,C. Valenciana,6389560,228000,1843650,863900,213125,9538235,9050962.5,0.9489137665406651,4255195,4075624,1594480,6/1/22,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220107.ods
