date_pub,ccaa,Personas con al menos 1 dosis ≥80 años,Población INE≥80 años,%,Personas con al menos 1 dosis 70-79 años,Población INE70-79 años,%.1,Personas con al menos 1 dosis 60-69 años,Población INE60-69 años,%.2,Personas con al menos 1 dosis 50-59 años,Población INE50-59 años,%.3,Personas con al menos 1 dosis 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas con al menos 1 dosis,Total Población INE Población a Vacunar (1),% Con al menos 1 dosis sobre Población a Vacunar INE,source_name,source
1/4/21,Andalucía,391814,413516,0.9475183547915921,27887,650381,0.04287794385137327,70060,916147,0.0764724438327037,135371,1265021,0.10701087175627914,318461,3009381,0.10582275889958766,25491,625846,0.04073046723954455,152,181921,0.000835527509193551,969236,7062213,0.13724253290009802,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Aragón,73468,98807,0.7435505581588349,3683,118955,0.030961287881972173,12136,156367,0.07761228392179936,23204,198266,0.11703469076896694,47234,446083,0.10588612433112224,5522,89180,0.0619197129401211,28,25106,0.0011152712499004221,165275,1132764,0.1459041777457617,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Asturias ,71508,87826,0.814200806139412,4360,109249,0.03990883211745645,16775,149652,0.112093389998129,19502,162645,0.11990531525715516,29831,322095,0.09261553268445645,2881,54179,0.053175584636113625,30,15563,0.0019276489108783653,144887,901209,0.1607695884084602,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Baleares,33141,49542,0.6689475596463607,2346,80516,0.029137065924785138,15295,117231,0.13046890327643712,19592,165797,0.11816860377449531,41453,464054,0.08932796614187143,3517,85839,0.040972052330525754,31,23300,0.0013304721030042918,115375,986279,0.11698008372884346,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Canarias,56952,90236,0.6311449975619486,16979,154531,0.10987439413451022,36450,235092,0.15504568424276455,26715,350512,0.07621707673346419,63848,832411,0.07670249432071416,5602,163899,0.03417958620857967,28,44352,0.0006313131313131314,206574,1871033,0.11040639048055272,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Cantabria,30858,41042,0.7518639442522295,1827,53066,0.03442882448271963,4962,77345,0.06415411468097486,9927,89964,0.11034413765506203,21036,194241,0.1082984539824239,1409,34935,0.04033204522684986,5,10791,0.0004633490872022982,70024,501384,0.13966141719719816,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Castilla y Leon,164648,223657,0.7361629638240699,14488,245410,0.05903589910761583,27302,318575,0.08570038452483716,50813,381175,0.1333062241752476,82450,738950,0.11157723797279924,7100,144422,0.04916148509229896,89,40684,0.002187592173827549,346890,2092873,0.16574823221475932,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Castilla - La Mancha,99503,135194,0.7360015977040402,6609,159101,0.041539650913570626,17253,218444,0.07898134075552544,36035,307478,0.11719537657978782,68206,707865,0.09635453087806291,5534,149518,0.037012266081675786,91,42364,0.0021480502313284866,233231,1719964,0.1356022567914212,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,Cataluña,285022,447196,0.6373536435925187,38673,635292,0.060874369581231935,159902,837584,0.19090861334504958,122476,1091780,0.1121801095458792,281598,2803626,0.1004406436521847,33598,556316,0.06039373305818995,279,159864,0.0017452334484311664,921548,6531658,0.14108944467086304,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
1/4/21,C. Valenciana,232661,276531,0.8413559420101182,12527,437862,0.028609470563784937,36414,580728,0.06270405422159772,83079,752334,0.11042834698418522,184064,1765967,0.10422844820996088,15542,352834,0.04404904289269175,106,103049,0.0010286368620753233,564393,4269305,0.1321978635866962,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210401.ods
