date_pub,ccaa,Personas con al menos 1 dosis >=80 años,%,Personas con al menos 1 dosis 70-79 años,%.1,Personas con al menos 1 dosis 60-69 años,%.2,Personas con al menos 1 dosis 50-59 años,%.3,Personas con al menos 1 dosis 40-49 años,%.4.1,Personas con al menos 1 dosis 25-39 años,%.4.2,18-24 años,%.5,16-17 años,%.6,Total Personas con al menos 1 dosis,Total Población INE Población a Vacunar (1),% Con al menos 1 dosis sobre Población a Vacunar INE,source_name,source
14/6/21,Andalucía,430591,1.0,642030,0.98715983400499097,851636,0.92958444441776267,1084578,0.85735968019503228,538536,0.38880265451074786,201697,0.12417724425848706,42881,0.068516855584281111,620,0.003408072734868432,3792569,7062213,0.53702274343750322,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Aragón,100584,1.0,117676,0.98924803497120761,147423,0.9428012304386475,166420,0.83937740207599887,82575,0.38417161759164059,34456,0.14906982780998529,7753,0.086936532854900203,78,0.0031068270532940332,656965,1132764,0.57996634780060097,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Asturias,88288,1.0,113072,1.0,140450,0.93851067810654054,138780,0.8532693903901134,71366,0.42735923062643344,21232,0.13689056233962166,4844,0.089407334945274003,63,0.0040480627128445671,578095,901209,0.64146607501700492,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Baleares,50588,1.0,76952,0.95573550598638779,98248,0.83807184106592969,126155,0.76090037817330836,88613,0.42980133092757505,27653,0.10723121427629691,4637,0.054019734619462016,48,0.0020600858369098714,472894,986279,0.47947284693276448,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Canarias,91090,1.0,146733,0.94953763322569584,205409,0.8737387916220033,260938,0.74444812160496643,147241,0.37956146049226136,59103,0.13296901821650578,8708,0.053130281453822169,128,0.002886002886002886,919350,1871033,0.49135958585444511,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Cantabria,42096,1.0,55459,1.0,72700,0.93994440493891007,72391,0.80466631096883201,24045,0.24593685114913724,12923,0.13395596649805125,1906,0.054558465722055242,19,0.0017607265313687333,281539,501384,0.56152370239177951,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Castilla y Leon,228226,1.0,248088,1.0,305127,0.95778702032488428,305569,0.80165016068734829,70158,0.19311047191753486,49250,0.13110782786939798,9721,0.067309689659470165,127,0.0031216202929898731,1216266,2092873,0.58114658653439555,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Castilla - La Mancha,137136,1.0,156806,0.98557520065870108,208210,0.95315046419219573,264962,0.86172669264142476,139764,0.42275222697781339,42769,0.11336743890155331,8351,0.05585280701989058,121,0.0028561986592389767,958119,1719964,0.55705758957745632,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Cataluña,454511,1.0,608056,0.95712837561310393,725337,0.8659871726298497,873164,0.79976185678433387,431144,0.32742917247323916,190744,0.12828550694713933,53356,0.09590951905032391,1054,0.0065931041385177405,3337366,6531658,0.51095234931161426,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,C. Valenciana,294254,1.0,427731,0.97686257313948233,529485,0.91176075546555357,605757,0.8051703099952946,189246,0.22222718027966576,110347,0.12067971814750776,22380,0.063429261352364,233,0.002261060272297645,2179433,4269305,0.5104889437507979,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Extremadura,77962,1.0,95219,1.0,127978,1.0,149569,0.88389395801815429,55379,0.34721682320338071,23741,0.12346841130827318,2983,0.039204605193985914,77,0.0036748914236624827,532908,911213,0.58483362287412488,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Galicia,240392,1.0,287572,0.99244207314968835,331496,0.95552090209179452,368890,0.90884453631411544,150185,0.33884901663052969,49914,0.11196927653140654,6844,0.044806703983763789,49,0.001113282137501704,1435342,2362643,0.60751539695163426,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,La Rioja,23285,1.0,28430,1.0,36586,0.96998780423140141,40792,0.85582410204766701,11875,0.22428088465824314,7634,0.13963527281374039,1581,0.074681152574397738,11,0.0017499204581609927,150194,270788,0.5546553023029086,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Madrid,370338,1.0,503317,0.95672909685010488,673659,0.9578230770215107,801148,0.82356291176963414,229719,0.19701947990130114,182271,0.1352393516381924,35689,0.074396101026440647,493,0.0036287087537998394,2796634,5695623,0.49101459138008258,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Murcia,73129,1.0,100363,0.9753544738044102,131976,0.89835204105943134,178630,0.83763176651536186,106435,0.41877658297823789,32915,0.11078463050473229,7890,0.066488577279277303,156,0.0044941230698317585,631494,1237479,0.51030684157064488,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Navarra,42348,1.0,55552,0.99569830800114711,70241,0.95120795189859708,88459,0.91483442612778454,45378,0.42015888594655654,16084,0.13982925599429694,4000,0.082465725182970823,15,0.001078671077232849,322077,552935,0.58248618734570967,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,País Vasco,161863,1.0,209829,0.9847381981499993,271568,0.96947368796832778,284501,0.83682425575847774,76688,0.21176749978599024,52816,0.14561254535228663,13366,0.095251669362827196,58,0.0013867635807192043,1070689,1898123,0.56407777578165375,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Ceuta,2359,0.90556621880998078,3769,0.87285780453913853,6993,0.89003436426116833,9659,0.83584285219799237,9008,0.71254548330960288,3451,0.19806014692378329,600,0.079145231499802141,11,0.0050574712643678158,35850,66158,0.54188457934036705,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Melilla,1939,0.82545764154959556,3153,0.84124866595517611,6458,0.82509262808227934,8360,0.73988848570669974,7921,0.65997333777703715,3098,0.17122644116509148,331,0.038776944704779756,7,0.0030120481927710845,31267,66178,0.4724681918462329,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Fuerzas Armadas,31,-,13,-,3310,-,8742,-,18740,-,35412,-,9031,-,13,-,75292,-,-,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Sanidad Exterior,0,-,0,-,5,-,42,-,141,-,207,-,50,-,0,-,445,-,-,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
14/6/21,Total España,2911010,1.0,3879820,0.9797413918276181,4944295,0.92642083003403042,5837506,0.82998038191428047,2494157,0.31604664473740063,1157717,0.13134418136916329,246902,0.074586011716766376,3381,0.0035625136320674698,21474788,40129822,0.53513289941829301,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210614.ods
