date_pub,ccaa,Personas pauta completa >=80 años,Población INE>=80 años,%,Personas pauta completa 70-79 años,Población INE70-79 años,%.1,Personas pauta completa 60-69 años,Población INE60-69 años,%.2,Personas pauta completa 50-59 años,Población INE50-59 años,%.3,Personas pauta completa 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas pauta completa,Total Población INE Población a Vacunar (1),% pauta completa sobre Población a Vacunar INE,source_name,source
14/4/21,Andalucía,275864,413516,0.6671180800742897,14981,650381,0.02303419072820393,42932,916147,0.04686147528726285,71893,1265021,0.056831467619905124,133056,3009381,0.044213743623688725,12146,625846,0.01940733023779013,102,181921,0.0005606829338009356,550974,7062213,0.07801718809670566,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Aragón,52638,98807,0.5327355349317356,3315,118955,0.02786768105586146,9550,156367,0.061074267588429786,14124,198266,0.07123763025430482,21763,446083,0.04878688495190357,1457,89180,0.016337743888764297,25,25106,0.0009957779016968055,102872,1132764,0.09081503296361819,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Asturias ,49008,87826,0.5580124336756769,3839,109249,0.03513990974745764,10334,149652,0.06905353754042712,13921,162645,0.08559131851578591,21484,322095,0.06670081808162188,2400,54179,0.0442976060835379,27,15563,0.0017348840197905287,101013,901209,0.11208609767545596,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Baleares,23743,49542,0.4792499293528723,2231,80516,0.027708778379452532,5030,117231,0.04290673968489563,7672,165797,0.04627345488760352,17615,464054,0.037958944433190964,1261,85839,0.014690292291382705,30,23300,0.0012875536480686696,57582,986279,0.058383074160557005,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Canarias,38034,90236,0.42149474710758456,13946,154531,0.09024726430295539,9569,235092,0.0407032140608783,17322,350512,0.04941913543616196,34769,832411,0.04176902996236234,2412,163899,0.01471638020976333,21,44352,0.0004734848484848485,116073,1871033,0.06203685343871541,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Cantabria,23855,41042,0.5812338579991229,1704,53066,0.032110956167791055,3768,77345,0.04871678841554076,5599,89964,0.062236005513316435,10616,194241,0.05465375487152558,614,34935,0.01757549735222556,3,10791,0.00027800945232137893,46159,501384,0.0920631691477989,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Castilla y Leon,132837,223657,0.5939317794658786,9873,245410,0.04023063444847398,20251,318575,0.06356744879541709,30171,381175,0.07915262018757789,42160,738950,0.05705392787062724,2654,144422,0.018376701610557947,86,40684,0.002113853111788418,238032,2092873,0.11373456487804086,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Castilla - La Mancha,74245,135194,0.5491737799014749,5809,159101,0.03651139841987165,13857,218444,0.063435022248265,22599,307478,0.07349794131612668,35063,707865,0.0495334562381245,3582,149518,0.023956981768081434,85,42364,0.0020064205457463883,155240,1719964,0.09025770306820376,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,Cataluña,171122,447196,0.3826554799237918,28724,635292,0.045213854416551756,49678,837584,0.05931106611396588,67914,1091780,0.06220483980289069,127964,2803626,0.04564232176474323,16523,556316,0.02970074561939617,215,159864,0.0013448931591853075,462140,6531658,0.07075385759634077,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
14/4/21,C. Valenciana,147457,276531,0.5332385880787326,10563,437862,0.02412403908080628,23901,580728,0.04115696160681076,34143,752334,0.045382768823421515,68494,1765967,0.03878554922034217,5255,352834,0.014893689383676176,101,103049,0.0009801162553736572,289914,4269305,0.06790660306537012,Ministerio de Sanidad,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210414.ods
