date,province,ccaa,new_cases,PCR,TestAc,activos,hospitalized,hospitalized_accumulated,hospitalized_new,intensive_care,deceased,cases_accumulated,cases_accumulated_PCR,recovered,source_name,source,comments
2020-03-13,Alicante/Alacant,Comunitat Valenciana,4,,,,,,,,,39,,,Sanidad Generalitat Valenciana,http://www.san.gva.es/documents/151311/8475611/200313+COMUNICADO+CORONAVIRUS.pdf,
2020-03-14,Alicante/Alacant,Comunitat Valenciana,18,,,,,,,,,57,,,Sanidad Generalitat Valenciana,http://www.san.gva.es/documents/151311/8476524/200314+NOTA+DE+PRENSA+CORONAVIRUS.pdf,
2020-03-15,Alicante/Alacant,Comunitat Valenciana,94,,,,,,,,,151,,,Sanidad Generalitat Valenciana,http://www.san.gva.es/documents/151311/8477533/20200315+NOTA+CORONAVIRUS,
2020-03-16,Alicante/Alacant,Comunitat Valenciana,42,,,,48,,,9,,,,,Sanidad Generalitat Valenciana,http://www.san.gva.es/documents/151311/8481579/20200316+Nota+coronavirus,
2020-03-17,Alicante/Alacant,Comunitat Valenciana,2,,,,105,,,17,,186,,,Sanidad Generalitat Valenciana,http://www.san.gva.es/documents/151311/8482973/20200317+NOTA+CORONAVIRUS,
2020-03-18,Alicante/Alacant,Comunitat Valenciana,103,,,,,,,,11,293,,0,Sanidad Generalitat Valenciana,http://www.san.gva.es/documents/151311/8476524/200314+NOTA+DE+PRENSA+CORONAVIRUS.pdf,https://www.rtve.es/noticias/20200319/mapa-del-coronavirus-espana/2004681.shtml
2020-03-19,Alicante/Alacant,Comunitat Valenciana,,,,316,,,,,11,338,,11,RTVE,Flourish de RTVE: https://public.flourish.studio/visualisation/1451263,Hay 2 casos más que no son residencia en la Comunitat Valenciana.
2020-03-20,Alicante/Alacant,Comunitat Valenciana,,,,348,,,,,17,372,,7,RTVE,Flourish de RTVE: https://public.flourish.studio/visualisation/1451263,Hay 2 casos más que no son residencia en la Comunitat Valenciana.
2020-03-21,Alicante/Alacant,Comunitat Valenciana,,,,348,,,,,17,372,,7,RTVE,Flourish de RTVE: https://public.flourish.studio/visualisation/1451263,Hay 2 casos más que no son residencia en la Comunitat Valenciana.
2020-03-22,Alicante/Alacant,Comunitat Valenciana,,,,325,,,,,40,372,,7,RTVE,Flourish de RTVE: https://public.flourish.studio/visualisation/1451263 Actualización: 19h.,Hay 2 casos más que no son residencia en la Comunitat Valenciana.
2020-03-23,Alicante/Alacant,Comunitat Valenciana,,,,541,,,,,50,603,,12,RTVE,Flourish de RTVE: https://public.flourish.studio/visualisation/1451263 Actualización: 21h.,Hay 3 casos más que no son residencia en la Comunitat Valenciana.
2020-03-24,Alicante/Alacant,Comunitat Valenciana,,,,555,348,,,61,61,628,,12,RTVE,Descargado 2020.03.25 00.35h https://public.flourish.studio/visualisation/1451263/,Hay 2 casos más que no son residencia en la Comunitat Valenciana.
2020-03-25,Alicante/Alacant,Comunitat Valenciana,229,,,774,410,,,72,71,857,,12,Junta de Castilla y León;RTVE,Flourish de RTVE: https://public.flourish.studio/visualisation/1451263 Actualización: 22:30h. Hospitalizaciones: http://www.san.gva.es/comunicados-coronavirus,Hay 2 casos más que no son residencia en la Comunitat Valenciana.
2020-03-26,Alicante/Alacant,Comunitat Valenciana,181,,,941,413,,,81,81,1039,,17,Sanidad Generalitat Valenciana,http://www.san.gva.es/comunicados-coronavirus (http://www.san.gva.es/documents/151311/8498622/200326+NOTA+DE+PRENSA+CORONAVIRUS.pdf),
2020-03-27,Alicante/Alacant,Comunitat Valenciana,54,,,,548,,,98,91,1093,,,Sanidad Generalitat Valenciana,http://www.san.gva.es/comunicados-coronavirus (http://www.san.gva.es/documents/151311/8500717/200327+NOTA+DE+PRENSA+CORONAVIRUS.pdf),
2020-03-28,Alicante/Alacant,Comunitat Valenciana,229,,,,651,,,104,109,1322,,20,Sanidad Generalitat Valenciana,http://www.san.gva.es/comunicados-coronavirus (http://www.san.gva.es/documents/151311/8502313/200328+NOTA+DE+PRENSA+CORONAVIRUS+.pdf),
2020-03-29,Alicante/Alacant,Comunitat Valenciana,412,,,,714,,,118,115,1734,,45,Sanidad Generalitat Valenciana,http://www.san.gva.es/comunicados-coronavirus (http://www.san.gva.es/documents/151311/8503378/200329+NOTA+DE+PRENSA+CORONAVIRUS.pdf),
2020-03-30,Alicante/Alacant,Comunitat Valenciana,105,,,,780,,,126,135,1839,,46,Sanidad Generalitat Valenciana,http://www.san.gva.es/comunicados-coronavirus (http://www.san.gva.es/documents/151311/8504871/200330+NOTA+DE+PRENSA+CORONAVIRUSok.pdf),
