"date","region","hospitalized","intensive_care","deceassed","cases_registered","recovered"
2020-02-27,"Asturias",NA,NA,NA,0,NA
2020-02-27,"Baleares",NA,NA,NA,1,NA
2020-02-27,"Cantabria",NA,NA,NA,0,NA
2020-02-27,"Ceuta",NA,NA,NA,0,NA
2020-02-27,"La Rioja",NA,NA,NA,0,NA
2020-02-27,"Madrid",NA,NA,NA,4,NA
2020-02-27,"Melilla",NA,NA,NA,0,NA
2020-02-27,"Murcia",NA,NA,NA,0,NA
2020-02-27,"Navarra",NA,NA,NA,0,NA
2020-02-28,"Asturias",NA,NA,NA,0,NA
2020-02-28,"Baleares",NA,NA,NA,1,NA
2020-02-28,"Cantabria",NA,NA,NA,0,NA
2020-02-28,"Ceuta",NA,NA,NA,0,NA
2020-02-28,"La Rioja",NA,NA,NA,0,NA
2020-02-28,"Madrid",NA,NA,NA,5,NA
2020-02-28,"Melilla",NA,NA,NA,0,NA
2020-02-28,"Murcia",NA,NA,NA,0,NA
2020-02-28,"Navarra",NA,NA,NA,0,NA
2020-02-29,"Asturias",NA,NA,NA,0,NA
2020-02-29,"Baleares",NA,NA,NA,2,NA
2020-02-29,"Cantabria",NA,NA,NA,0,NA
2020-02-29,"Ceuta",NA,NA,NA,0,NA
2020-02-29,"La Rioja",NA,NA,NA,0,NA
2020-02-29,"Madrid",NA,NA,NA,8,NA
2020-02-29,"Melilla",NA,NA,NA,0,NA
2020-02-29,"Murcia",NA,NA,NA,0,NA
2020-02-29,"Navarra",NA,NA,NA,0,NA
2020-03-01,"Asturias",NA,NA,NA,1,NA
2020-03-01,"Baleares",NA,NA,NA,2,NA
2020-03-01,"Cantabria",NA,NA,NA,1,NA
2020-03-01,"Ceuta",NA,NA,NA,0,NA
2020-03-01,"La Rioja",NA,NA,NA,0,NA
2020-03-01,"Madrid",NA,NA,NA,10,NA
2020-03-01,"Melilla",NA,NA,NA,0,NA
2020-03-01,"Murcia",NA,NA,NA,0,NA
2020-03-01,"Navarra",NA,NA,NA,1,NA
2020-03-02,"Asturias",NA,NA,NA,1,NA
2020-03-02,"Baleares",NA,NA,NA,2,NA
2020-03-02,"Cantabria",NA,NA,NA,10,NA
2020-03-02,"Ceuta",NA,NA,NA,0,NA
2020-03-02,"La Rioja",NA,NA,NA,1,NA
2020-03-02,"Madrid",NA,NA,NA,29,NA
2020-03-02,"Melilla",NA,NA,NA,0,NA
2020-03-02,"Murcia",NA,NA,NA,0,NA
2020-03-02,"Navarra",NA,NA,NA,1,NA
2020-03-03,"Asturias",NA,NA,0,1,NA
2020-03-03,"Baleares",NA,NA,0,2,NA
2020-03-03,"Cantabria",NA,NA,0,10,NA
2020-03-03,"Ceuta",NA,NA,0,0,NA
2020-03-03,"La Rioja",NA,NA,0,3,NA
2020-03-03,"Madrid",NA,NA,0,49,NA
2020-03-03,"Melilla",NA,NA,0,0,NA
2020-03-03,"Murcia",NA,NA,0,0,NA
2020-03-03,"Navarra",NA,NA,0,1,NA
2020-03-04,"Asturias",NA,1,0,2,NA
2020-03-04,"Baleares",NA,0,0,5,NA
2020-03-04,"Cantabria",NA,0,0,10,NA
2020-03-04,"Ceuta",NA,0,0,0,NA
2020-03-04,"La Rioja",NA,0,0,7,NA
2020-03-04,"Madrid",NA,2,0,70,NA
2020-03-04,"Melilla",NA,0,0,0,NA
2020-03-04,"Murcia",NA,0,0,0,NA
2020-03-04,"Navarra",NA,1,0,3,NA
2020-03-05,"Asturias",NA,2,0,5,NA
2020-03-05,"Baleares",NA,0,0,6,NA
2020-03-05,"Cantabria",NA,0,0,10,NA
2020-03-05,"Ceuta",NA,0,0,0,NA
2020-03-05,"La Rioja",NA,0,0,11,NA
2020-03-05,"Madrid",NA,2,1,90,NA
2020-03-05,"Melilla",NA,0,0,0,NA
2020-03-05,"Murcia",NA,0,0,0,NA
2020-03-05,"Navarra",NA,1,0,3,NA
2020-03-06,"Asturias",NA,2,0,5,NA
2020-03-06,"Baleares",NA,0,0,6,NA
2020-03-06,"Cantabria",NA,0,0,10,NA
2020-03-06,"Ceuta",NA,0,0,0,NA
2020-03-06,"La Rioja",NA,0,0,29,NA
2020-03-06,"Madrid",NA,2,2,137,NA
2020-03-06,"Melilla",NA,0,0,0,NA
2020-03-06,"Murcia",NA,0,0,0,NA
2020-03-06,"Navarra",NA,1,0,3,NA
2020-03-07,"Asturias",NA,NA,0,5,NA
2020-03-07,"Baleares",NA,NA,0,6,NA
2020-03-07,"Cantabria",NA,NA,0,10,NA
2020-03-07,"Ceuta",NA,NA,0,0,NA
2020-03-07,"La Rioja",NA,NA,0,39,NA
2020-03-07,"Madrid",NA,NA,4,174,NA
2020-03-07,"Melilla",NA,NA,0,0,NA
2020-03-07,"Murcia",NA,NA,0,0,NA
2020-03-07,"Navarra",NA,NA,0,3,NA
2020-03-08,"Asturias",NA,NA,0,7,NA
2020-03-08,"Baleares",NA,NA,0,8,NA
2020-03-08,"Cantabria",NA,NA,0,12,NA
2020-03-08,"Ceuta",NA,NA,0,0,NA
2020-03-08,"La Rioja",NA,NA,0,55,NA
2020-03-08,"Madrid",NA,NA,8,202,NA
2020-03-08,"Melilla",NA,NA,0,0,NA
2020-03-08,"Murcia",NA,NA,0,1,NA
2020-03-08,"Navarra",NA,NA,0,3,NA
2020-03-09,"Asturias",NA,2,0,7,NA
2020-03-09,"Baleares",NA,0,0,11,NA
2020-03-09,"Cantabria",NA,0,0,12,NA
2020-03-09,"Ceuta",NA,0,0,0,NA
2020-03-09,"La Rioja",NA,1,0,81,NA
2020-03-09,"Madrid",NA,53,8,469,NA
2020-03-09,"Melilla",NA,0,0,0,NA
2020-03-09,"Murcia",NA,0,0,4,NA
2020-03-09,"Navarra",NA,1,0,3,NA
2020-03-10,"Asturias",NA,2,0,22,NA
2020-03-10,"Baleares",NA,1,0,13,NA
2020-03-10,"Cantabria",NA,0,0,12,NA
2020-03-10,"Ceuta",NA,0,0,0,NA
2020-03-10,"La Rioja",NA,1,1,144,NA
2020-03-10,"Madrid",NA,77,21,782,NA
2020-03-10,"Melilla",NA,0,0,0,NA
2020-03-10,"Murcia",NA,0,0,9,NA
2020-03-10,"Navarra",NA,2,0,12,NA
2020-03-11,"Asturias",NA,2,0,32,NA
2020-03-11,"Baleares",NA,1,0,16,NA
2020-03-11,"Cantabria",NA,0,0,12,NA
2020-03-11,"Ceuta",NA,0,0,0,NA
2020-03-11,"La Rioja",NA,1,2,179,NA
2020-03-11,"Madrid",NA,102,31,1024,NA
2020-03-11,"Melilla",NA,0,0,0,NA
2020-03-11,"Murcia",NA,0,0,11,NA
2020-03-11,"Navarra",NA,3,0,46,NA
2020-03-12,"Asturias",NA,2,1,47,NA
2020-03-12,"Baleares",NA,2,1,22,NA
2020-03-12,"Cantabria",NA,0,0,16,NA
2020-03-12,"Ceuta",NA,0,0,0,NA
2020-03-12,"La Rioja",NA,1,2,205,NA
2020-03-12,"Madrid",NA,135,56,1388,NA
2020-03-12,"Melilla",NA,0,0,0,NA
2020-03-12,"Murcia",NA,1,0,26,NA
2020-03-12,"Navarra",NA,3,0,73,NA
2020-03-13,"Asturias",NA,2,1,67,NA
2020-03-13,"Baleares",NA,2,1,30,NA
2020-03-13,"Cantabria",NA,0,0,29,NA
2020-03-13,"Ceuta",NA,0,0,0,NA
2020-03-13,"La Rioja",NA,2,2,243,NA
2020-03-13,"Madrid",NA,180,81,1990,NA
2020-03-13,"Melilla",NA,0,0,2,NA
2020-03-13,"Murcia",NA,1,0,35,NA
2020-03-13,"Navarra",NA,4,0,130,NA
2020-03-14,"Asturias",NA,NA,1,92,NA
2020-03-14,"Baleares",NA,NA,1,28,NA
2020-03-14,"Cantabria",NA,NA,0,31,NA
2020-03-14,"Ceuta",NA,NA,0,0,NA
2020-03-14,"La Rioja",NA,NA,3,278,NA
2020-03-14,"Madrid",NA,NA,86,2940,NA
2020-03-14,"Melilla",NA,NA,0,3,NA
2020-03-14,"Murcia",NA,NA,0,47,NA
2020-03-14,"Navarra",NA,NA,0,146,NA
2020-03-15,"Asturias",NA,NA,1,137,NA
2020-03-15,"Baleares",NA,NA,1,28,NA
2020-03-15,"Cantabria",NA,NA,0,51,NA
2020-03-15,"Ceuta",NA,NA,0,1,NA
2020-03-15,"La Rioja",NA,NA,3,300,NA
2020-03-15,"Madrid",NA,NA,213,3544,NA
2020-03-15,"Melilla",NA,NA,0,8,NA
2020-03-15,"Murcia",NA,NA,0,71,NA
2020-03-15,"Navarra",NA,NA,0,183,NA
2020-03-16,"Asturias",NA,3,1,177,3
2020-03-16,"Baleares",NA,4,1,73,1
2020-03-16,"Cantabria",NA,2,0,58,10
2020-03-16,"Ceuta",NA,0,0,1,0
2020-03-16,"La Rioja",NA,13,4,312,2
2020-03-16,"Madrid",NA,253,213,4165,474
2020-03-16,"Melilla",NA,0,0,8,0
2020-03-16,"Murcia",NA,2,0,77,1
2020-03-16,"Navarra",NA,5,1,274,0
2020-03-17,"Asturias",NA,5,1,193,3
2020-03-17,"Baleares",NA,4,1,92,1
2020-03-17,"Cantabria",NA,2,0,58,10
2020-03-17,"Ceuta",NA,0,0,1,0
2020-03-17,"La Rioja",NA,13,5,355,2
2020-03-17,"Madrid",NA,340,355,4871,951
2020-03-17,"Melilla",NA,0,0,17,0
2020-03-17,"Murcia",NA,3,0,97,1
2020-03-17,"Navarra",NA,10,2,313,0
2020-03-18,"Asturias",NA,5,1,242,4
2020-03-18,"Baleares",NA,4,1,112,4
2020-03-18,"Cantabria",NA,3,1,68,10
2020-03-18,"Ceuta",NA,0,0,1,0
2020-03-18,"La Rioja",NA,13,5,419,2
2020-03-18,"Madrid",NA,491,390,5637,951
2020-03-18,"Melilla",NA,0,0,20,0
2020-03-18,"Murcia",NA,4,0,122,1
2020-03-18,"Navarra",NA,10,3,386,0
2020-03-19,"Asturias",NA,6,1,292,4
2020-03-19,"Baleares",NA,7,2,169,6
2020-03-19,"Cantabria",NA,4,1,83,10
2020-03-19,"Ceuta",NA,0,0,1,0
2020-03-19,"La Rioja",NA,15,5,468,2
2020-03-19,"Madrid",NA,590,498,6777,941
2020-03-19,"Melilla",NA,0,0,23,0
2020-03-19,"Murcia",NA,6,0,167,1
2020-03-19,"Navarra",NA,11,4,482,0
2020-03-20,"Asturias",NA,7,2,344,12
2020-03-20,"Baleares",NA,10,2,203,10
2020-03-20,"Cantabria",NA,7,1,144,10
2020-03-20,"Ceuta",NA,0,0,5,0
2020-03-20,"La Rioja",NA,15,7,497,13
2020-03-20,"Madrid",NA,678,628,7165,1186
2020-03-20,"Melilla",NA,1,0,24,0
2020-03-20,"Murcia",NA,11,0,204,1
2020-03-20,"Navarra",NA,19,5,554,1
